scene_id,family,receiver,fixed_seed,prompt,target_concept,expected_effect
collisionx000,block_stack,three light pine cubes stacked in a short tower,10000,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three light pine cubes stacked in a short tower remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx001,block_stack,four red foam blocks stacked loosely,10001,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four red foam blocks stacked loosely remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx002,block_stack,five blue wooden blocks standing in a close row,10002,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, five blue wooden blocks standing in a close row remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx003,block_stack,three small cardboard cartons stacked two levels high,10003,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three small cardboard cartons stacked two levels high remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx004,block_stack,six white plastic domino blocks standing in a straight row,10004,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, six white plastic domino blocks standing in a straight row remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx005,block_stack,four tan cork cubes standing upright,10005,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four tan cork cubes standing upright remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx006,block_stack,three hollow plastic bricks stacked on a tabletop,10006,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three hollow plastic bricks stacked on a tabletop remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx007,block_stack,five small balsa-wood blocks in a tight row,10007,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, five small balsa-wood blocks in a tight row remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx008,block_stack,four yellow foam cubes arranged as a low tower,10008,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four yellow foam cubes arranged as a low tower remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx009,block_stack,three lightweight toy bricks stacked vertically,10009,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three lightweight toy bricks stacked vertically remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx010,block_stack,six short wooden domino blocks standing in a row,10010,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, six short wooden domino blocks standing in a row remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx011,block_stack,four small paper boxes stacked loosely,10011,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four small paper boxes stacked loosely remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx012,block_stack,three red wooden cubes in a short tower,10012,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three red wooden cubes in a short tower remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx013,block_stack,five white foam blocks standing side by side,10013,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, five white foam blocks standing side by side remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx014,block_stack,four blue plastic bricks arranged as a small wall,10014,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four blue plastic bricks arranged as a small wall remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx015,block_stack,three light cork blocks stacked at the center,10015,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three light cork blocks stacked at the center remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx016,block_stack,six tan toy blocks standing in a straight line,10016,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, six tan toy blocks standing in a straight line remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx017,block_stack,four hollow cardboard cubes in a low stack,10017,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four hollow cardboard cubes in a low stack remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx018,block_stack,three green foam cubes stacked vertically,10018,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three green foam cubes stacked vertically remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx019,block_stack,five narrow wooden blocks standing upright,10019,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, five narrow wooden blocks standing upright remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx020,block_stack,four lightweight building bricks in a short tower,10020,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, four lightweight building bricks in a short tower remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
collisionx021,block_stack,three small white cartons stacked loosely,10021,"A realistic fixed-camera tabletop video in one continuous shot. For the first two seconds, three small white cartons stacked loosely remains completely still and the ball is not visible. Then exactly one small red rubber ball rolls along the tabletop from the left, stays on the table, and visibly contacts the nearest object. Only after that contact, the contacted object and nearby objects tip over, slide, or move in a short physical collision chain. Before contact no object moves. There is only one ball and no hands, people, tools, extra balls, bouncing, or flying objects. The camera, table, lighting, and background remain fixed throughout.",exactly one small red rubber ball,contact-triggered tipping sliding or movement of the contacted objects
