output_id,item_id,item_index,slice_index,source_index,pair_id,mechanism_type,baseline,baseline_label,video_path,strip_path,strip_exists,reference_strip_path,reference_strip_exists,target_concept,expected_effect,source_prompt
zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002::baseline,zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,baseline,baseline,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/000_fluid-impact-pebble-pond-002_baseline/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_baseline.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward."
zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002::chain_mask,zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,chain_mask,chain_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/001_fluid-impact-pebble-pond-002_chain_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_chain_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward."
zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002::comparison_token_mask,zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,comparison_token_mask,comparison_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/002_fluid-impact-pebble-pond-002_comparison_token_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_comparison_token_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward."
zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002::random_token_mask,zeroscope_attention_mask_b2_soft025_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,random_token_mask,random_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/003_fluid-impact-pebble-pond-002_random_token_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_random_token_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward."
zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::baseline,zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,baseline,baseline,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/004_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_baseline/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_baseline.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror."
zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::chain_mask,zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,chain_mask,chain_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/005_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_chain_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_chain_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror."
zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::comparison_token_mask,zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,comparison_token_mask,comparison_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/006_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_comparison_token_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_comparison_token_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror."
zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::random_token_mask,zeroscope_attention_mask_b2_soft025_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,random_token_mask,random_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/007_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_random_token_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_random_token_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror."
zeroscope_attention_mask_b2_soft025_quality3:elastic_deformation_soccer_net_001::baseline,zeroscope_attention_mask_b2_soft025_quality3:elastic_deformation_soccer_net_001,2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,baseline,baseline,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/008_elastic-deformation-soccer-net-001_baseline/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/002_baseline.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/002_clean_reference.jpg,true,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward.
zeroscope_attention_mask_b2_soft025_quality3:elastic_deformation_soccer_net_001::chain_mask,zeroscope_attention_mask_b2_soft025_quality3:elastic_deformation_soccer_net_001,2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,chain_mask,chain_mask,experiments/method_probe/zeroscope_attention_mask_b2_soft025_quality3_fast_20260702/009_elastic-deformation-soccer-net-001_chain_mask/sample.mp4,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/002_chain_mask.jpg,true,experiments/evaluation/zeroscope_attention_mask_b2_soft025_quality3_fable_20260702/frame_strips/002_clean_reference.jpg,true,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward.
