protocol_version,sample_id,training_role,mechanism,split,generalization_group,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,prompt,target_concept,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,reference_start_inclusive,reference_end_exclusive,original_video,ours_video,original_post_change_mae,ours_post_change_mae,footprint_suppression_percent,early_divergence_mae,ours_late_frame_mae
v1,eval_water_impact_seen_seen_00,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,eval_explicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Next, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. Following that contact, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/000_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/000_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.12364732,0.12164993,1.62,0.14019066,0.16364619
v1,eval_water_impact_seen_seen_01,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,eval_explicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The source arrives only after the still opening: one large clear water droplet falls vertically from above, enters the center of the water, and makes contact, causing a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/001_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/001_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.07977781,0.00850911,89.33,0.08239689,0.13530339
v1,eval_water_impact_seen_seen_02,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,eval_implicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The shot then naturally captures the moment when one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/002_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/002_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01441494,0.01041730,27.73,0.17232369,0.17551884
v1,eval_water_impact_seen_seen_03,,water_impact,test,seen_seen,ice_cube,one small clear ice cube,yes,shallow_pond,a calm shallow pond,yes,eval_implicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Without any camera change, the scene continues as one small clear ice cube falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/003_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/003_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.02144222,0.01796923,16.20,0.14978981,0.15103376
v1,eval_water_impact_seen_seen_04,,water_impact,test,seen_seen,ice_cube,one small clear ice cube,yes,white_basin,a wide white ceramic basin filled with water,yes,eval_compact,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After two still seconds, one small clear ice cube falls vertically from above, enters the center of the water, and makes contact; afterward, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/004_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/004_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01321530,0.01364587,-3.26,0.10413474,0.10929509
v1,eval_water_impact_unseen_seen_00,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,shallow_pond,a calm shallow pond,yes,eval_explicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Next, one smooth gray stone falls vertically from above, enters the center of the water, and makes contact. Following that contact, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/005_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/005_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.17496301,0.08347017,52.29,0.10668923,0.19384943
v1,eval_water_impact_unseen_seen_01,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,white_basin,a wide white ceramic basin filled with water,yes,eval_explicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The source arrives only after the still opening: one smooth gray stone falls vertically from above, enters the center of the water, and makes contact, causing a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/006_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/006_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.07410711,0.02660319,64.10,0.09476895,0.13741311
v1,eval_water_impact_unseen_seen_02,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,glass_tank,a clear rectangular glass tank filled with water,yes,eval_implicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The shot then naturally captures the moment when one smooth gray stone falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/007_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/007_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01375799,0.01247020,9.36,0.16304682,0.16680947
v1,eval_water_impact_unseen_seen_03,,water_impact,test,unseen_seen,yellow_ball,one small yellow rubber ball,no,shallow_pond,a calm shallow pond,yes,eval_implicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Without any camera change, the scene continues as one small yellow rubber ball falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/008_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/008_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.03989436,0.05915242,-48.27,0.14851138,0.16371436
v1,eval_water_impact_unseen_seen_04,,water_impact,test,unseen_seen,yellow_ball,one small yellow rubber ball,no,white_basin,a wide white ceramic basin filled with water,yes,eval_compact,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After two still seconds, one small yellow rubber ball falls vertically from above, enters the center of the water, and makes contact; afterward, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/009_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_negative_prompt/water_impact/videos/009_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.02447058,0.01165912,52.35,0.13775516,0.14920340
