scene_id,replaced_scene_id,receiver_group_id,source_scene_id,receiver_id,family,receiver,condition,prompt_variant,split,causal_footprint,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt
wdcontrolfix000,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a white enamel washbasin filled with water remains centered, intact, and completely unobstructed. Gentle low-amplitude ripples are already traveling across the water surface in the first frame and continue throughout, caused only by a hidden vibration source outside the shot. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix001,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a white enamel washbasin filled with water remains centered, intact, and completely unobstructed. The water is flat at first; halfway through, a gentle breeze from outside the frame creates clearly visible natural ripples that continue to the end. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix002,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a white enamel washbasin filled with water remains centered, intact, and completely unobstructed. A hidden low-power fan outside the shot creates several small visible waves across the water surface throughout the recording. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix003,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a white enamel washbasin filled with water remains centered, intact, and completely unobstructed. A concealed vibration source beneath the receiver creates gentle repeating ripples on the water surface, while the receiver itself stays fixed. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix004,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a small porcelain teacup filled with water remains centered, intact, and completely unobstructed. Gentle low-amplitude ripples are already traveling across the water surface in the first frame and continue throughout, caused only by a hidden vibration source outside the shot. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix005,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a small porcelain teacup filled with water remains centered, intact, and completely unobstructed. The water is flat at first; halfway through, a gentle breeze from outside the frame creates clearly visible natural ripples that continue to the end. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix006,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a small porcelain teacup filled with water remains centered, intact, and completely unobstructed. A hidden low-power fan outside the shot creates several small visible waves across the water surface throughout the recording. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix007,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,"A realistic locked-camera macro video in one continuous shot. A a small porcelain teacup filled with water remains centered, intact, and completely unobstructed. A concealed vibration source beneath the receiver creates gentle repeating ripples on the water surface, while the receiver itself stays fixed. No falling water, water bead, splash, hand, tool, or foreign object enters the frame. Only the water-surface ripples move; the receiver, camera, lighting, and background remain unchanged."
wdcontrolfix008,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,"A locked-camera still-life video; absolutely nothing happens. A a shallow puddle on a flat stone step is already present and remains perfectly still. Its water surface stays flat and mirror-smooth in the first frame, every middle frame, and the final frame. No droplet, ripple, wave, ring, splash, wind, vibration, object, or lighting change occurs. The receiver, camera, background, and reflections remain fixed."
wdcontrolfix009,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,"A static scientific control recording, visually identical from beginning to end. A a shallow puddle on a flat stone step is already present and remains perfectly still. Its water surface stays flat and mirror-smooth in the first frame, every middle frame, and the final frame. No droplet, ripple, wave, ring, splash, wind, vibration, object, or lighting change occurs. The receiver, camera, background, and reflections remain fixed."
wdcontrolfix010,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,"A fixed macro video that looks like an unchanged still photograph for the full clip. A a shallow puddle on a flat stone step is already present and remains perfectly still. Its water surface stays flat and mirror-smooth in the first frame, every middle frame, and the final frame. No droplet, ripple, wave, ring, splash, wind, vibration, object, or lighting change occurs. The receiver, camera, background, and reflections remain fixed."
wdcontrolfix011,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,"A completely uneventful control video with no temporal change. A a shallow puddle on a flat stone step is already present and remains perfectly still. Its water surface stays flat and mirror-smooth in the first frame, every middle frame, and the final frame. No droplet, ripple, wave, ring, splash, wind, vibration, object, or lighting change occurs. The receiver, camera, background, and reflections remain fixed."
