output_id,item_id,item_index,slice_index,source_index,pair_id,mechanism_type,baseline,baseline_label,video_path,strip_path,strip_exists,reference_strip_path,reference_strip_exists,target_concept,expected_effect,source_prompt
c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002::original,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,original,original target plus footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/000_fluid-impact-pebble-pond-002_original_seed30000.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_original.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward."
c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002::remove_target,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,remove_target,remove target and footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/000_fluid-impact-pebble-pond-002_remove_target_seed30000.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_remove_target.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward."
c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002::footprint_only,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,footprint_only,footprint without target,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/000_fluid-impact-pebble-pond-002_footprint_only_seed30000.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_footprint_only.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.
c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002::target_only,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,0,0,fluid_impact_pebble_pond_002,fluid_impact,target_only,target without footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/000_fluid-impact-pebble-pond-002_target_only_seed30000.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_target_only.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/000_clean_reference.jpg,true,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward."
c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::original,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,original,original target plus footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_original_seed30001.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_original.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror."
c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::remove_target,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,remove_target,remove target and footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_remove_target_seed30001.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_remove_target.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror."
c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::footprint_only,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,footprint_only,footprint without target,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_footprint_only_seed30001.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_footprint_only.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame."
c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033::target_only,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,target_only,target without footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_target_only_seed30001.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_target_only.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/001_clean_reference.jpg,true,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. The black hockey puck is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no a star-shaped crack spreads across the mirror."
c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001::original,c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001,2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,original,original target plus footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/002_elastic-deformation-soccer-net-001_original_seed30002.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/002_original.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/002_clean_reference.jpg,true,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward.
c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001::remove_target,c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001,2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,remove_target,remove target and footprint,experiments/method_probe/c0_counterfactual_grid_20260703_quality3/videos/002_elastic-deformation-soccer-net-001_remove_target_seed30002.mp4,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/002_remove_target.jpg,true,experiments/evaluation/c0_counterfactual_grid_quality3_fable_20260703/frame_strips/002_clean_reference.jpg,true,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. No soccer ball is present. The scene has no net stretches and ripples backward.
