scene_id,source_scene_id,receiver_id,family,receiver,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt
wdresting000,wdsimple0152,hard_surface_01,hard_surface,stainless-steel tray,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a stainless-steel tray. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting001,wdsimple0154,hard_surface_02,hard_surface,transparent glass tabletop,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a transparent glass tabletop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting002,wdsimple0160,hard_surface_05,hard_surface,blue plastic cutting board,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a blue plastic cutting board. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting003,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a white quartz countertop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting004,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a porcelain sink ledge. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting005,wdsimple0178,hard_surface_14,hard_surface,flat chrome-plated shelf,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat chrome-plated shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting006,wdsimple0182,hard_surface_16,hard_surface,polished copper plate,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a polished copper plate. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting007,wdsimple0186,hard_surface_18,hard_surface,steel workbench top,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a steel workbench top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting008,wdsimple0192,hard_surface_21,hard_surface,clear glass plate,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a clear glass plate. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting009,wdsimple0198,hard_surface_24,hard_surface,rigid white PVC board,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a rigid white PVC board. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
