prompt_id,pair_id,baseline,mechanism_type,video_path,prompt,target_concept,expected_effect,target_visible,effect_visible,temporal_order_clear,effect_depends_on_target,video_quality,clean_source_valid,notes
round5_fluid_leaf_pond_001,round5_fluid_leaf_pond_001,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_000/videos/000_a-top-down-realistic-video-of-a-single-brown-leaf-falling-onto-perfectly_seed5200.mp4,"A top-down realistic video of a single brown leaf falling onto perfectly still pond water, causing soft circular ripples to spread across the surface after contact.",leaf,soft ripples spread across pond water,yes,yes,weak,weak,ok,borderline,"Leaf and ripples are visible, but the leaf/ripple continuity jumps and causality is weak."
round5_fluid_spoon_soup_002,round5_fluid_spoon_soup_002,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_001/videos/000_a-close-up-video-of-a-metal-spoon-dipping-into-a-bowl-of-thick-tomato-so_seed5201.mp4,"A close-up video of a metal spoon dipping into a bowl of thick tomato soup and stirring once, causing a clear spiral swirl pattern to remain on the soup surface.",spoon,swirl pattern forms in soup,no,no,no,no,poor,no,Mostly flat red soup-like frames; spoon and swirl are absent.
round5_fluid_milk_drop_tea_003,round5_fluid_milk_drop_tea_003,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_002/videos/000_a-macro-video-of-a-white-milk-drop-falling-into-a-transparent-cup-of-dar_seed5202.mp4,"A macro video of a white milk drop falling into a transparent cup of dark tea, causing a white cloudy plume to spread downward through the liquid.",milk drop,white plume spreads through tea,no,no,no,no,poor,no,Mostly uniform dark liquid; milk drop and plume are not discernible.
round5_fluid_coffee_drop_milk_004,round5_fluid_coffee_drop_milk_004,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_003/videos/000_a-macro-video-of-a-dark-coffee-drop-falling-into-a-glass-of-still-white_seed5203.mp4,"A macro video of a dark coffee drop falling into a glass of still white milk, causing a brown plume to bloom downward through the milk.",coffee drop,brown plume blooms through milk,no,no,no,no,poor,no,Overexposed pale frames; coffee drop and brown plume are absent.
round5_fluid_coin_fountain_005,round5_fluid_coin_fountain_005,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_004/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed5204.mp4,"A close-up slow-motion video of a shiny coin dropping into a shallow fountain basin, causing a small splash and ripple rings to appear around the impact point.",coin,small splash and ripple rings appear,yes,yes,clear,clear,good,yes,Coin and splash/ripple sequence are visible with usable temporal progression.
round5_fluid_cherry_soda_006,round5_fluid_cherry_soda_006,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_005/videos/000_a-close-up-video-of-a-red-cherry-dropping-into-a-glass-of-clear-soda-cau_seed5205.mp4,"A close-up video of a red cherry dropping into a glass of clear soda, causing bubbles to rise and a small splash to form around the cherry impact.",cherry,bubbles rise around splash,yes,yes,weak,weak,ok,borderline,"Cherry and surface disturbance/bubbles are visible, but the composition is cropped and dynamics are weak."
round5_fluid_ice_cube_lemonade_007,round5_fluid_ice_cube_lemonade_007,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_006/videos/000_a-realistic-close-up-video-of-a-clear-ice-cube-falling-into-yellow-lemon_seed5206.mp4,"A realistic close-up video of a clear ice cube falling into yellow lemonade, causing a splash and bubbles to rise around the impact point.",ice cube,splash and bubbles rise in lemonade,no,no,no,no,poor,no,"Uniform yellow frames; ice cube, splash, and bubbles are absent."
round5_fluid_raindrop_leaf_008,round5_fluid_raindrop_leaf_008,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_007/videos/000_a-macro-video-of-a-single-raindrop-landing-on-a-flat-green-leaf-causing_seed5207.mp4,"A macro video of a single raindrop landing on a flat green leaf, causing tiny water beads to scatter outward across the leaf surface.",raindrop,water beads scatter outward,no,no,no,no,poor,no,Uniform green frames; raindrop and scattered water beads are absent.
round5_fluid_strawberry_yogurt_009,round5_fluid_strawberry_yogurt_009,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_008/videos/000_a-close-up-slow-motion-video-of-a-red-strawberry-dropping-into-a-bowl-of_seed5208.mp4,"A close-up slow-motion video of a red strawberry dropping into a bowl of white yogurt, causing the yogurt surface to dent and splash upward.",strawberry,yogurt surface dents and splashes,no,no,no,no,poor,no,Mostly blank/overexposed frames; strawberry and yogurt splash are absent.
round5_fluid_marble_oil_010,round5_fluid_marble_oil_010,clean,fluid_impact,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_009/videos/000_a-macro-video-of-a-transparent-glass-marble-dropping-into-a-shallow-tray_seed5209.mp4,"A macro video of a transparent glass marble dropping into a shallow tray of clear oil, causing slow smooth rings to spread outward across the oil surface.",glass marble,rings spread through clear oil,no,partial,no,no,poor,no,Faint surface texture only; glass marble is absent and rings are not usable.
