scene_id,train_group_id,receiver_id,receiver,condition,prompt,generated_video,desired_target_video,training_role,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video,reference_end_exclusive,source_split,source_index
waterdrop_000,wd001,liquid_container,glass bowl filled with water,explicit_causal,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8301.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd001_seed8301/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8301.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd001_seed8301/counterfactual_static.mp4,20,train_candidate,0
waterdrop_004,wd010,hard_surface,ceramic plate,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic plate remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the plate. Only after impact, water splashes outward and forms a small shallow puddle.",outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8310.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd010_seed8310/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8310.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd010_seed8310/counterfactual_static.mp4,16,train_candidate,1
waterdrop_005,wd016,wood,unfinished pale wood,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain.",outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8316.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd016_seed8316/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8316.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd016_seed8316/counterfactual_static.mp4,20,train_candidate,2
waterdrop_007,wdr001,liquid_container,glass bowl filled with water,explicit_causal,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8401.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr001_seed8401/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8401.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr001_seed8401/counterfactual_static.mp4,16,train_candidate,3
waterdrop_009,wdr004,liquid_container,shallow puddle,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8404.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr004_seed8404/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8404.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr004_seed8404/counterfactual_static.mp4,12,train_candidate,4
waterdrop_010,wdr005,liquid_container,aquarium water surface,explicit_causal,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the upper water surface inside a clean empty aquarium remains completely flat and still. Then one large clear water droplet enters from above, falls visibly downward, and contacts the center of the water surface. Only after contact, a small splash and outward-moving ripples appear.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/005_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8405.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr005_seed8405/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/005_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8405.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr005_seed8405/counterfactual_static.mp4,16,train_candidate,5
waterdrop_011,wdr006,hard_surface,dark-gray ceramic tile,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8406.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr006_seed8406/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8406.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr006_seed8406/counterfactual_static.mp4,20,train_candidate,6
waterdrop_013,wdr009,hard_surface,dark marble slab,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished dark marble slab remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the marble. Only after impact, water splashes outward and a dark wet spot remains.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/009_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8409.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr009_seed8409/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/009_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8409.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr009_seed8409/counterfactual_static.mp4,8,train_candidate,7
waterdrop_014,wdr010,hard_surface,ceramic plate,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic plate remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the plate. Only after impact, water splashes outward and forms a small shallow puddle.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8410.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr010_seed8410/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8410.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr010_seed8410/counterfactual_static.mp4,16,train_candidate,8
waterdrop_016,wdr012,absorbent_fabric,cotton towel,explicit_causal,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a folded white cotton towel remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the towel. Only after contact, a darker wet patch appears and slowly spreads into the cotton.",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/012_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8412.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr012_seed8412/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/012_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8412.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr012_seed8412/counterfactual_static.mp4,28,train_candidate,9
