# source prompts
# Format: <prompt> | <target> | <expected_effect>

A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward. | pebble | circular ripples spread outward
A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward. | soccer ball | net stretches and ripples backward
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. makeup brush causes a pink powder cloud blooms upward. | makeup brush | a pink powder cloud blooms upward
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. garden rake causes parallel grooves remain in the soil. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with loose hair strands on a white table, with no pre-existing lifted hair. red balloon causes hair strands lift upward and cling toward the balloon. | red balloon | hair strands lift upward and cling toward the balloon
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a shallow tray of still blue water, with no pre-existing ripple. black pebble causes circular ripples spread outward from the impact point. | black pebble | circular ripples spread outward from the impact point
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. ice cube causes branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. hand causes a deep pillow dent forms and remains briefly. | hand | a deep pillow dent forms and remains briefly
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a compact of pink powder, with no pre-existing powder cloud. makeup brush causes a pink powder cloud blooms upward. | makeup brush | a pink powder cloud blooms upward
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. marker pen causes a black line remains on the whiteboard. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a shallow tray of still blue water, with no pre-existing ripple. black pebble causes circular ripples spread outward from the impact point. | black pebble | circular ripples spread outward from the impact point
