scene_id,family,receiver,fixed_seed,prompt,target_concept,expected_effect
collision000,block_stack,a short stack of three lightweight wooden blocks,9900,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a short stack of three lightweight wooden blocks remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision001,block_stack,four colorful foam cubes standing in a small tower,9901,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four colorful foam cubes standing in a small tower remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision002,block_stack,three plain cardboard boxes stacked on a table,9902,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three plain cardboard boxes stacked on a table remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision003,block_stack,a row of five small wooden blocks,9903,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a row of five small wooden blocks remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision004,block_stack,a small tower of white plastic building bricks,9904,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a small tower of white plastic building bricks remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision005,block_stack,three yellow toy blocks arranged in a row,9905,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three yellow toy blocks arranged in a row remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision006,block_stack,a short stack of red and blue wooden cubes,9906,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a short stack of red and blue wooden cubes remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision007,block_stack,four small cork blocks standing upright,9907,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four small cork blocks standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision008,block_stack,a neat row of six white domino blocks,9908,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a neat row of six white domino blocks remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision009,block_stack,three small stone-like toy blocks on a tabletop,9909,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three small stone-like toy blocks on a tabletop remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision010,container_row,three empty aluminum cans standing in a row,9910,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three empty aluminum cans standing in a row remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision011,container_row,four clear plastic cups standing upright,9911,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four clear plastic cups standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision012,container_row,three small paper cups arranged in a row,9912,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three small paper cups arranged in a row remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision013,container_row,two empty glass bottles standing apart,9913,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, two empty glass bottles standing apart remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision014,container_row,four blue plastic bottles standing upright,9914,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four blue plastic bottles standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision015,container_row,three small metal tins on a wooden table,9915,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three small metal tins on a wooden table remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision016,container_row,a row of five white disposable cups,9916,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a row of five white disposable cups remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
collision017,container_row,three short cardboard tubes standing upright,9917,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three short cardboard tubes standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",one small red rubber ball,contact-triggered tipping or movement of the contacted objects
