scene_id,train_group_id,receiver_id,receiver,condition,prompt,generated_video,desired_target_video,training_role,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video,reference_end_exclusive,pair_contact_sheet,semantic_status,generated_condition_pass
wdtrain00_clean_control,wdtrain00,hard_surface_00,dark-gray ceramic tile,clean_control,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,8,outputs/waterdrop_train_pilot40_aligned/wdtrain00/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain00_explicit_causal,wdtrain00,hard_surface_00,dark-gray ceramic tile,explicit_causal,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain00/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain00/counterfactual_static.mp4,8,outputs/waterdrop_train_pilot40_aligned/wdtrain00/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain00_target_only,wdtrain00,hard_surface_00,dark-gray ceramic tile,target_only,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain00/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,8,outputs/waterdrop_train_pilot40_aligned/wdtrain00/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,no
wdtrain00_unrelated_footprint,wdtrain00,hard_surface_00,dark-gray ceramic tile,unrelated_footprint,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,8,outputs/waterdrop_train_pilot40_aligned/wdtrain00/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain01_clean_control,wdtrain01,hard_surface_03,polished dark marble slab,clean_control,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain01/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain01_explicit_causal,wdtrain01,hard_surface_03,polished dark marble slab,explicit_causal,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain01/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain01/counterfactual_static.mp4,10,outputs/waterdrop_train_pilot40_aligned/wdtrain01/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain01_target_only,wdtrain01,hard_surface_03,polished dark marble slab,target_only,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain01/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain01/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,no
wdtrain01_unrelated_footprint,wdtrain01,hard_surface_03,polished dark marble slab,unrelated_footprint,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/001_a-realistic-locked-camera-macro-video-of-a-polished-dark-marble-slab-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain01/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain02_clean_control,wdtrain02,hard_surface_06,granite countertop,clean_control,"A realistic locked-camera macro video of a granite countertop in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,preserve,frozen_base_distillation,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain02/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain02_explicit_causal,wdtrain02,hard_surface_06,granite countertop,explicit_causal,"A realistic locked-camera macro video of a granite countertop in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain02/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain02/counterfactual_static.mp4,2,outputs/waterdrop_train_pilot40_aligned/wdtrain02/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
