# Exported benchmark-v2 candidate prompts
# Status: candidate_v2; not clean-source-gated yet
# Format: <prompt> | <target> | <effect>

A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water. | pebble | circular ripples spread outward
A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward. | rock | spiderweb crack appears on windshield
A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward. | soccer ball | net stretches and ripples backward
A realistic slow-motion close-up video of a tennis ball hitting a racket, causing the racket strings to bend inward. | tennis ball | racket strings bend inward
A realistic close-up video of a plastic comb moving near tiny paper scraps, causing the scraps to lift and cling together in a cluster. | comb | paper scraps lift and cling together
A high-speed close-up video of a single water droplet falling into a mirror-like puddle, causing a crown splash followed by circular ripples. | water droplet | crown splash and circular ripples
A macro video of a distinct blue ink droplet entering a clear glass of still water from above, causing a blue plume to bloom downward through the transparent water. | blue ink droplet | blue plume blooms downward
A realistic side close-up video of a bicycle tire entering the frame and rolling through soft wet mud, leaving a sharp tire track behind it. | bicycle tire | tire track remains in mud
A fixed front-view video of a small dark rock flying into a clean car windshield, causing a spiderweb crack to spread outward from the impact point. | rock | spiderweb crack spreads on windshield
A realistic close-up video of a black-and-white soccer ball hitting the center of a white goal net, causing the net to stretch backward and ripple. | soccer ball | net stretches backward
A slow-motion close-up video of a bright yellow tennis ball hitting the center of a tennis racket, causing the racket strings to bend inward. | tennis ball | racket strings bend inward
A close-up video of a yellow plastic comb moving near tiny white paper scraps on a blue table, causing the scraps to lift toward the comb. | plastic comb | paper scraps lift toward comb
A fixed close-up video of a small desk fan blowing toward hanging paper streamers, causing the streamers to bend backward and flutter. | fan | paper streamers bend backward
A side-view video of a black hair dryer blowing toward colorful ribbons, causing the ribbons to flutter and bend away from the air stream. | hair dryer | ribbons flutter away
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with an intact thin sugar-glass pane, with no pre-existing crack. A clearly visible red rubber ball enters the frame and remains visible before contact. The red rubber ball hits the center of the pane in the middle of the clip, causing radial cracks spread outward across the glass; the effect begins only after contact and remains visible for several frames. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with an intact thin sugar-glass pane, with no pre-existing crack. A clearly visible red rubber ball enters the frame and remains visible before contact. The red rubber ball hits the center of the pane after a short still beginning, causing radial cracks spread outward across the glass; the effect begins only after contact and remains visible for several frames. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with an intact thin sugar-glass pane, with no pre-existing crack. A clearly visible red rubber ball enters the frame and remains visible before contact. The red rubber ball hits the center of the pane after the surface is shown clean, causing radial cracks spread outward across the glass; the effect begins only after contact and remains visible for several frames. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact thin sugar-glass pane, with no pre-existing crack. A clearly visible red rubber ball enters the frame and remains visible before contact. The red rubber ball hits the center of the pane after the target is clearly visible, causing radial cracks spread outward across the glass; the effect begins only after contact and remains visible for several frames. | red rubber ball | radial cracks spread outward across the glass
