scene_id,replaced_scene_id,receiver_group_id,source_scene_id,receiver_id,family,receiver,condition,prompt_variant,split,causal_footprint,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,shard,shard_index,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
wdcontrolfix000,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,0,0,outputs/waterdrop_control_replacements12_wan/shard_0/videos/000_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-white-e_seed9400.mp4,49,8.0,1,nan,6.222120392628207,0.17357772435897437,0.12644418569711538,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix000_liquid_surface_shard0_000.jpg,
wdcontrolfix003,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,0,1,outputs/waterdrop_control_replacements12_wan/shard_0/videos/001_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-white-e_seed9400.mp4,49,8.0,1,nan,3.8916341145833333,0.09005909455128205,0.0834910857371795,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix003_liquid_surface_shard0_001.jpg,
wdcontrolfix006,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,0,2,outputs/waterdrop_control_replacements12_wan/shard_0/videos/002_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-small-p_seed9400.mp4,49,8.0,9,0.6123589409722222,4.925506643963676,0.11420022035256411,0.11159104567307693,candidate,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix006_liquid_surface_shard0_002.jpg,
wdcontrolfix009,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,0,3,outputs/waterdrop_control_replacements12_wan/shard_0/videos/003_a-static-scientific-control-recording-visually-identical-from-beginning_seed9400.mp4,49,8.0,1,nan,20.651888020833333,0.3394406049679487,0.3370643028846154,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix009_liquid_surface_shard0_003.jpg,
wdcontrolfix001,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,1,0,outputs/waterdrop_control_replacements12_wan/shard_1/videos/000_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-white-e_seed9400.mp4,49,8.0,1,nan,4.10777827857906,0.10672826522435898,0.08271046173878205,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix001_liquid_surface_shard1_000.jpg,
wdcontrolfix004,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,1,1,outputs/waterdrop_control_replacements12_wan/shard_1/videos/001_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-small-p_seed9400.mp4,49,8.0,9,0.7801298744658118,3.0782118055555556,0.05605719150641025,0.05222731370192307,candidate,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix004_liquid_surface_shard1_001.jpg,
wdcontrolfix007,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,1,2,outputs/waterdrop_control_replacements12_wan/shard_1/videos/002_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-small-p_seed9400.mp4,49,8.0,1,nan,3.3443134014423075,0.03380158253205128,0.029590469751602566,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix007_liquid_surface_shard1_002.jpg,
wdcontrolfix010,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,1,3,outputs/waterdrop_control_replacements12_wan/shard_1/videos/003_a-fixed-macro-video-that-looks-like-an-unchanged-still-photograph-for-th_seed9400.mp4,49,8.0,1,nan,24.97008129674145,0.3989708533653846,0.3969883062900641,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix010_liquid_surface_shard1_003.jpg,
wdcontrolfix002,wdfive0008,wdreceiver01,wdsimple0021,liquid_surface_07,liquid_surface,a white enamel washbasin filled with water,unrelated_footprint,2,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,2,0,outputs/waterdrop_control_replacements12_wan/shard_2/videos/000_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-white-e_seed9400.mp4,49,8.0,1,nan,7.119024606036326,0.17110877403846153,0.15160569411057692,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix002_liquid_surface_shard2_000.jpg,
wdcontrolfix005,wdfive0018,wdreceiver03,wdsimple0045,liquid_surface_15,liquid_surface,a small porcelain teacup filled with water,unrelated_footprint,1,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,yes,no,yes,Remove the water droplet.,9400,2,1,outputs/waterdrop_control_replacements12_wan/shard_2/videos/001_a-realistic-locked-camera-macro-video-in-one-continuous-shot-a-a-small-p_seed9400.mp4,49,8.0,9,0.42663010817307695,6.90722405849359,0.1617012219551282,0.14806502904647434,candidate,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix005_liquid_surface_shard2_001.jpg,
wdcontrolfix008,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,0,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,2,2,outputs/waterdrop_control_replacements12_wan/shard_2/videos/002_a-locked-camera-still-life-video-absolutely-nothing-happens-a-a-shallow_seed9400.mp4,49,8.0,1,nan,22.6007328392094,0.43427483974358977,0.4321971404246795,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix008_liquid_surface_shard2_002.jpg,
wdcontrolfix011,wdfive0049,wdreceiver09,wdsimple0141,liquid_surface_47,liquid_surface,a shallow puddle on a flat stone step,clean_control,3,frozen_test_replacement_candidate,a small crown splash rises and concentric ripples spread outward,no,no,no,no,Remove the water droplet.,9400,2,3,outputs/waterdrop_control_replacements12_wan/shard_2/videos/003_a-completely-uneventful-control-video-with-no-temporal-change-a-a-shallo_seed9400.mp4,49,8.0,1,nan,18.586810563568378,0.3709109575320513,0.3686542217548077,reject_no_clean_prefix,outputs/waterdrop_control_replacements12_auto_contact_sheets/wdcontrolfix011_liquid_surface_shard2_003.jpg,
