review_id,pair_id,item_index,seed_index,variant,expected_target_visible,expected_footprint_visible,observed_target_visible,observed_footprint_visible,target_match,footprint_match,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,cell_success,rejection_reasons,notes
c01_000_s00_6942e98f83,fluid_impact_pebble_pond_002,0,0,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_000_s00_a0d8d9a979,fluid_impact_pebble_pond_002,0,0,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_000_s00_d061aaa8a9,fluid_impact_pebble_pond_002,0,0,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_000_s00_2966343d63,fluid_impact_pebble_pond_002,0,0,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_000_s01_0f0adcfa0b,fluid_impact_pebble_pond_002,0,1,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_000_s01_2abce3c884,fluid_impact_pebble_pond_002,0,1,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_000_s01_a12a0b60eb,fluid_impact_pebble_pond_002,0,1,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_000_s01_694f1d2abb,fluid_impact_pebble_pond_002,0,1,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_000_s02_0b6f6a420b,fluid_impact_pebble_pond_002,0,2,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_000_s02_d12ed7e5e6,fluid_impact_pebble_pond_002,0,2,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_000_s02_909354da6c,fluid_impact_pebble_pond_002,0,2,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_000_s02_6486e16108,fluid_impact_pebble_pond_002,0,2,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_000_s03_581d7e153b,fluid_impact_pebble_pond_002,0,3,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_000_s03_8077b39e65,fluid_impact_pebble_pond_002,0,3,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_000_s03_7fb8876c43,fluid_impact_pebble_pond_002,0,3,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_000_s03_a97cb40a45,fluid_impact_pebble_pond_002,0,3,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_000_s04_9d8f032e42,fluid_impact_pebble_pond_002,0,4,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_000_s04_13790a1e54,fluid_impact_pebble_pond_002,0,4,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_000_s04_530d611db9,fluid_impact_pebble_pond_002,0,4,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_000_s04_96b8e831d9,fluid_impact_pebble_pond_002,0,4,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_001_s00_1ccc89148f,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_001_s00_149f3ba600,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_001_s00_b0c812be84,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_001_s00_6607344f0b,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_001_s01_567ff7d164,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,1,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_001_s01_a95040c23d,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,1,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_001_s01_aec0f53e27,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,1,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_001_s01_599f082dcd,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,1,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
