shard,shard_index,scene_id,family,receiver,fixed_seed,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
0,0,collision000,block_stack,a short stack of three lightweight wooden blocks,9900,outputs/collision_prompt_gate30_wan/shard_0/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9900.mp4,49,8.0,7,0.7101629273504274,2.4001026642628207,0.028743489583333334,0.007247846554487181,candidate,outputs/collision_prompt_gate30_contact_sheets/collision000_block_stack_shard0_000.jpg,
1,0,collision001,block_stack,four colorful foam cubes standing in a small tower,9901,outputs/collision_prompt_gate30_wan/shard_1/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9901.mp4,49,8.0,3,0.9139381343482905,18.119702357104703,0.2036533453525641,0.1870693108974359,review_short_prefix,outputs/collision_prompt_gate30_contact_sheets/collision001_block_stack_shard1_000.jpg,
0,1,collision002,block_stack,three plain cardboard boxes stacked on a table,9902,outputs/collision_prompt_gate30_wan/shard_0/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9902.mp4,49,8.0,1,nan,9.057621360844017,0.15169771634615384,0.14069010416666666,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision002_block_stack_shard0_001.jpg,
1,1,collision003,block_stack,a row of five small wooden blocks,9903,outputs/collision_prompt_gate30_wan/shard_1/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9903.mp4,49,8.0,10,1.3885166266025641,6.3865234375,0.05412159455128205,0.025428185096153848,candidate,outputs/collision_prompt_gate30_contact_sheets/collision003_block_stack_shard1_001.jpg,
0,2,collision004,block_stack,a small tower of white plastic building bricks,9904,outputs/collision_prompt_gate30_wan/shard_0/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9904.mp4,49,8.0,18,0.7301749465811966,14.055872729700853,0.14155649038461537,0.14004720052083333,candidate,outputs/collision_prompt_gate30_contact_sheets/collision004_block_stack_shard0_002.jpg,
1,2,collision005,block_stack,three yellow toy blocks arranged in a row,9905,outputs/collision_prompt_gate30_wan/shard_1/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9905.mp4,49,8.0,2,0.7992563100961538,24.03563701923077,0.37669521233974357,0.2744891826923077,review_short_prefix,outputs/collision_prompt_gate30_contact_sheets/collision005_block_stack_shard1_002.jpg,
0,3,collision006,block_stack,a short stack of red and blue wooden cubes,9906,outputs/collision_prompt_gate30_wan/shard_0/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9906.mp4,49,8.0,20,0.9862930689102564,8.02814169337607,0.0967948717948718,0.08812975761217948,candidate,outputs/collision_prompt_gate30_contact_sheets/collision006_block_stack_shard0_003.jpg,
1,3,collision007,block_stack,four small cork blocks standing upright,9907,outputs/collision_prompt_gate30_wan/shard_1/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9907.mp4,49,8.0,1,nan,12.663993222489315,0.20976312099358974,0.2014980218349359,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision007_block_stack_shard1_003.jpg,
0,4,collision008,block_stack,a neat row of six white domino blocks,9908,outputs/collision_prompt_gate30_wan/shard_0/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9908.mp4,49,8.0,6,0.7655490451388888,11.060963374732905,0.13024839743589745,0.11033466045673077,candidate,outputs/collision_prompt_gate30_contact_sheets/collision008_block_stack_shard0_004.jpg,
1,4,collision009,block_stack,three small stone-like toy blocks on a tabletop,9909,outputs/collision_prompt_gate30_wan/shard_1/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9909.mp4,49,8.0,5,0.7923293936965811,6.692898637820512,0.09475661057692308,0.09328863681891025,candidate,outputs/collision_prompt_gate30_contact_sheets/collision009_block_stack_shard1_004.jpg,
0,5,collision010,container_row,three empty aluminum cans standing in a row,9910,outputs/collision_prompt_gate30_wan/shard_0/videos/005_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9910.mp4,49,8.0,1,nan,6.785501802884616,0.08835386618589744,0.08064277844551282,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision010_container_row_shard0_005.jpg,
1,5,collision011,container_row,four clear plastic cups standing upright,9911,outputs/collision_prompt_gate30_wan/shard_1/videos/005_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9911.mp4,49,8.0,1,nan,10.320664730235043,0.17920923477564102,0.15280699118589744,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision011_container_row_shard1_005.jpg,
0,6,collision012,container_row,three small paper cups arranged in a row,9912,outputs/collision_prompt_gate30_wan/shard_0/videos/006_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9912.mp4,49,8.0,4,0.8990676749465811,4.372863247863248,0.05482271634615385,0.036830178285256414,candidate,outputs/collision_prompt_gate30_contact_sheets/collision012_container_row_shard0_006.jpg,
1,6,collision013,container_row,two empty glass bottles standing apart,9913,outputs/collision_prompt_gate30_wan/shard_1/videos/006_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9913.mp4,49,8.0,1,nan,16.311223791399573,0.24624649439102564,0.22749336438301282,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision013_container_row_shard1_006.jpg,
0,7,collision014,container_row,four blue plastic bottles standing upright,9914,outputs/collision_prompt_gate30_wan/shard_0/videos/007_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9914.mp4,49,8.0,1,nan,5.4990476428953,0.046113782051282054,0.026414763621794873,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision014_container_row_shard0_007.jpg,
1,7,collision015,container_row,three small metal tins on a wooden table,9915,outputs/collision_prompt_gate30_wan/shard_1/videos/007_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9915.mp4,49,8.0,1,nan,5.6768062232905985,0.06098257211538462,0.03341721754807692,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision015_container_row_shard1_007.jpg,
0,8,collision016,container_row,a row of five white disposable cups,9916,outputs/collision_prompt_gate30_wan/shard_0/videos/008_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9916.mp4,49,8.0,23,0.6920564569978633,14.126650974893161,0.1553936298076923,0.03856107271634615,candidate,outputs/collision_prompt_gate30_contact_sheets/collision016_container_row_shard0_008.jpg,
1,8,collision017,container_row,three short cardboard tubes standing upright,9917,outputs/collision_prompt_gate30_wan/shard_1/videos/008_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9917.mp4,49,8.0,1,nan,64.7500984909188,0.997285657051282,0.9972061548477564,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision017_container_row_shard1_008.jpg,
0,9,collision018,container_row,four empty orange juice cans in a row,9918,outputs/collision_prompt_gate30_wan/shard_0/videos/009_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9918.mp4,49,8.0,5,0.8710269764957266,39.23663945646367,0.3881785857371795,0.3798333583733975,candidate,outputs/collision_prompt_gate30_contact_sheets/collision018_container_row_shard0_009.jpg,
1,9,collision019,container_row,three small ceramic cups standing on a counter,9919,outputs/collision_prompt_gate30_wan/shard_1/videos/009_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9919.mp4,49,8.0,16,1.123728799412393,8.514543269230769,0.12428385416666667,0.0628192608173077,candidate,outputs/collision_prompt_gate30_contact_sheets/collision019_container_row_shard1_009.jpg,
0,10,collision020,toy_row,five upright wooden toy pins in a row,9920,outputs/collision_prompt_gate30_wan/shard_0/videos/010_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9920.mp4,49,8.0,10,1.0510566907051282,3.4585770566239313,0.027624198717948717,0.026216947115384616,candidate,outputs/collision_prompt_gate30_contact_sheets/collision020_toy_row_shard0_010.jpg,
1,10,collision021,toy_row,three black chess pieces standing on a board,9921,outputs/collision_prompt_gate30_wan/shard_1/videos/010_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9921.mp4,49,8.0,2,0.5528028178418803,11.309585336538461,0.07432642227564103,0.06663098457532052,review_short_prefix,outputs/collision_prompt_gate30_contact_sheets/collision021_toy_row_shard1_010.jpg,
0,11,collision022,toy_row,four small red toy cones standing upright,9922,outputs/collision_prompt_gate30_wan/shard_0/videos/011_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9922.mp4,49,8.0,1,nan,16.381345986912393,0.19921624599358975,0.18537660256410254,reject_no_clean_prefix,outputs/collision_prompt_gate30_contact_sheets/collision022_toy_row_shard0_011.jpg,
