scene_id,family,receiver,fixed_seed,prompt,target_concept,expected_effect
collisionf000,wood_block,three pale balsa-wood blocks,11000,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three pale balsa-wood blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf001,wood_block,three light pine blocks,11001,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three light pine blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf002,wood_block,three tan cork blocks,11002,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three tan cork blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf003,wood_block,three white wooden blocks,11003,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three white wooden blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf004,wood_block,three blue foam blocks,11004,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three blue foam blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf005,wood_block,three yellow toy blocks,11005,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three yellow toy blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf006,wood_block,three small cardboard blocks,11006,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three small cardboard blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf007,wood_block,three light oak blocks,11007,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three light oak blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf008,wood_block,three green foam blocks,11008,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three green foam blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
collisionf009,wood_block,three beige cork blocks,11009,"A simple realistic side-view tabletop video, fixed camera, one continuous shot. Exactly three beige cork blocks stand upright in one loose row with wide gaps. At first the three objects are completely still and no ball is visible. After two seconds, one small red rubber ball rolls slowly on the tabletop from left to right. The ball stays on the tabletop, strikes the leftmost object once, and that object falls onto its side. The other two objects remain still. Only one red ball exists in the entire video. No bouncing, flying, extra balls, hands, people, tools, cuts, or camera movement.",one small red rubber ball,the leftmost receiver falls only after ball contact
