protocol_version,sample_id,training_role,mechanism,split,generalization_group,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,prompt,target_concept,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,reference_start_inclusive,reference_end_exclusive
v1,preserve_books_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing three closed books resting neatly on a wooden desk. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_books_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing three closed books resting neatly on a wooden desk. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_books_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing three closed books resting neatly on a wooden desk. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_vase_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one blue ceramic vase standing on a shelf. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_vase_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one blue ceramic vase standing on a shelf. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_vase_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one blue ceramic vase standing on a shelf. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_lamp_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one desk lamp illuminating an otherwise empty table. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_lamp_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one desk lamp illuminating an otherwise empty table. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_lamp_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one desk lamp illuminating an otherwise empty table. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_clock_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one wall clock with its second hand moving steadily. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_clock_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one wall clock with its second hand moving steadily. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_clock_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one wall clock with its second hand moving steadily. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_fan_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one small desk fan spinning at a constant speed. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_fan_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one small desk fan spinning at a constant speed. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_fan_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one small desk fan spinning at a constant speed. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_train_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one toy train moving smoothly around an empty circular track. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_train_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one toy train moving smoothly around an empty circular track. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_train_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one toy train moving smoothly around an empty circular track. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_pendulum_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing one metal pendulum swinging gently from side to side. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
v1,preserve_pendulum_1,preserve,generic_preservation,train,,,,,,,,preserve_1,"A realistic fixed-camera video in one continuous shot showing one metal pendulum swinging gently from side to side. The shot is stable, realistic, and free of impacts, breakage, splashes, powder bursts, or collisions.",generic preservation,,,12000,49,8,,
v1,preserve_pendulum_2,preserve,generic_preservation,train,,,,,,,,preserve_2,A realistic fixed-camera video in one continuous shot showing one metal pendulum swinging gently from side to side. No object enters from above and no abrupt physical event occurs anywhere in the scene.,generic preservation,,,12000,49,8,,
v1,preserve_conveyor_0,preserve,generic_preservation,train,,,,,,,,preserve_0,"A realistic fixed-camera video in one continuous shot showing a conveyor belt carrying identical sealed boxes without contact or collision. The camera, lighting, background, and all object identities remain unchanged.",generic preservation,,,12000,49,8,,
