scene_id,source_scene_id,family,receiver,variant,generation_prompt_type,result_mentioned_in_prompt,erase_instruction,causal_footprint,shard,shard_index,fixed_seed
wdimplicit0000,wdsimple0000,liquid_surface,a calm shallow pond,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,0,9000
wdimplicit0004,wdsimple0012,liquid_surface,a shallow rain puddle on level pavement,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,1,9000
wdimplicit0008,wdsimple0024,liquid_surface,a round stone birdbath filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,2,9000
wdimplicit0012,wdsimple0036,liquid_surface,a stainless-steel saucepan filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,3,9000
wdimplicit0016,wdsimple0048,liquid_surface,a clear stemmed wine glass filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,4,9000
wdimplicit0020,wdsimple0060,liquid_surface,a wide porcelain basin filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,5,9000
wdimplicit0024,wdsimple0072,liquid_surface,an open metal pail filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,6,9000
wdimplicit0028,wdsimple0084,liquid_surface,a carved granite basin filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,7,9000
wdimplicit0032,wdsimple0096,liquid_surface,a rectangular glass baking dish filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,8,9000
wdimplicit0036,wdsimple0108,liquid_surface,a black stone bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,9,9000
wdimplicit0040,wdsimple0120,liquid_surface,a natural rock depression holding rainwater,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,10,9000
wdimplicit0044,wdsimple0132,liquid_surface,a shallow puddle on a microscope glass slide,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,11,9000
wdimplicit0048,wdsimple0144,liquid_surface,a still indoor decorative pool,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,0,12,9000
wdimplicit0052,wdsimple0154,hard_surface,transparent glass tabletop,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,13,9000
wdimplicit0056,wdsimple0162,hard_surface,granite countertop,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,14,9000
wdimplicit0060,wdsimple0170,hard_surface,smooth epoxy floor sample,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,15,9000
wdimplicit0064,wdsimple0178,hard_surface,flat chrome-plated shelf,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,16,9000
wdimplicit0068,wdsimple0186,hard_surface,steel workbench top,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,17,9000
wdimplicit0072,wdsimple0194,hard_surface,clear acrylic sheet,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,18,9000
wdimplicit0076,wdsimple0202,hard_surface,laminated office desk,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,19,9000
wdimplicit0080,wdsimple0210,hard_surface,flat wall mirror,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,20,9000
