review_id,item_index,seed_index,video_path,video_exists,strip_path,strip_exists,target_concept,footprint_definition,source_prompt,target_visible,footprint_visible,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,reviewer_id,notes
c01_005_s04_db826644d5,5,4,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_002_s00_23555e1a75,2,0,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_004_s04_9a10c9947c,4,4,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_001_s03_7f102291ca,1,3,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_004_s00_9a1f144cdd,4,0,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_002_s03_89eb92c667,2,3,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_004_s04_ffadfcf56c,4,4,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_005_s03_5cf54f0b45,5,3,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_002_s01_6743533c02,2,1,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s02_b93283dedb,2,2,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_006_s01_d0fdac3f0e,6,1,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_001_s01_c85629e91b,1,1,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_006_s00_ce64eb4b13,6,0,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_002_s00_bd058aa895,2,0,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s02_8a06337efa,2,2,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s01_e11db31624,2,1,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_005_s03_bdc6724ef0,5,3,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_007_s02_9049a20a92,7,2,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_004_s00_28957017a3,4,0,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_004_s04_84686a31f3,4,4,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_006_s01_c543f5adce,6,1,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_002_s03_26499182da,2,3,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_007_s03_10b22d5e9e,7,3,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_007_s04_b711361fb5,7,4,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_005_s01_2fddf68b89,5,1,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_005_s02_7e72fe9db9,5,2,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_006_s00_f049e50a53,6,0,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_001_s00_24be4af1bd,1,0,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_001_s03_02a7e3f5c3,1,3,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_004_s01_2ed9db5f16,4,1,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_002_s04_81eaf4fa03,2,4,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_005_s04_a20c41e203,5,4,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_002_s02_fb09db9e63,2,2,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s03_b38700dc85,2,3,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_003_s02_e560b92911,3,2,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_003_s02_a6e19ffa79,3,2,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_000_s03_b00323d0ac,0,3,,false,,false,metal comb,parallel grooves in the sand,"A realistic fixed-camera close-up video of a metal comb contacting a smooth sand tray, leaving parallel grooves in the sand.",,,,,,,,
c01_003_s00_4eab0bebac,3,0,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_007_s02_c0ddd07153,7,2,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_003_s03_3993f1547b,3,3,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_005_s00_45884b0fcc,5,0,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_003_s04_5b15ccd98c,3,4,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_002_s02_6dd1c0dc66,2,2,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_007_s02_ef3473d3c1,7,2,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_006_s01_276bc63094,6,1,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_001_s01_6ef47ea447,1,1,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_002_s04_449db8b14a,2,4,,false,,false,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_000_s03_736fe22bdc,0,3,,false,,false,metal comb,parallel grooves in the sand,"A realistic fixed-camera close-up video of a metal comb contacting a smooth sand tray, leaving parallel grooves in the sand.",,,,,,,,
c01_003_s01_96645dcd7e,3,1,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_003_s02_648b3ab2a4,3,2,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_000_s01_daef203a27,0,1,,false,,false,metal comb,parallel grooves in the sand,"A realistic fixed-camera close-up video of a metal comb contacting a smooth sand tray, leaving parallel grooves in the sand.",,,,,,,,
c01_003_s00_087bf2bef1,3,0,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_001_s00_3007385f88,1,0,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_004_s01_29cfcfb2dc,4,1,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_007_s03_f4a36ce2ca,7,3,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_004_s01_3028d5d914,4,1,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_001_s03_9af841f50a,1,3,,false,,false,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_004_s02_78b4a1bdba,4,2,,false,,false,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_007_s02_10b6c8a457,7,2,,false,,false,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_000_s02_2d5171b838,0,2,,false,,false,metal comb,parallel grooves in the sand,"A realistic fixed-camera close-up video of a metal comb contacting a smooth sand tray, leaving parallel grooves in the sand.",,,,,,,,
c01_003_s04_689ad208c6,3,4,,false,,false,piece of chalk,a white chalk line on the blackboard,"A realistic fixed-camera close-up video of a piece of chalk contacting a clean blackboard, leaving a white chalk line on the blackboard.",,,,,,,,
c01_000_s01_d2b8203aaf,0,1,,false,,false,metal comb,parallel grooves in the sand,"A realistic fixed-camera close-up video of a metal comb contacting a smooth sand tray, leaving parallel grooves in the sand.",,,,,,,,
c01_005_s02_23bced80cc,5,2,,false,,false,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_006_s01_382457276f,6,1,,false,,false,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
