protocol_version,identification_case_index,mechanism,case_id,case_kind,generalization_group,source_membership,prompt_style,footprint_lexicalization,specificity_subtype,seed,included_streams,additional_streams
causal_role_erasure_7m_single_seed_v2,0,water_impact,eval7m_m00_c00,causal,holdout_source_fresh_receiver,eval_holdout,direct,explicit,,2115881898,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,1,water_impact,eval7m_m00_c03,causal,holdout_source_fresh_receiver,eval_holdout,direct,implicit,,1630480738,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,2,water_impact,eval7m_m00_c05,causal,holdout_source_fresh_receiver,eval_holdout,natural,explicit,,108259693,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,3,water_impact,eval7m_m00_c06,causal,holdout_source_fresh_receiver,eval_holdout,natural,implicit,,1022446779,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,4,water_impact,eval7m_m00_c09,causal,holdout_source_seen_receiver,eval_holdout,direct,explicit,,1338301336,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,5,water_impact,eval7m_m00_c10,causal,holdout_source_seen_receiver,eval_holdout,direct,implicit,,1745967696,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,6,water_impact,eval7m_m00_c12,causal,holdout_source_seen_receiver,eval_holdout,natural,explicit,,1962909908,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,7,water_impact,eval7m_m00_c15,causal,holdout_source_seen_receiver,eval_holdout,natural,implicit,,1270678644,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,8,water_impact,eval7m_m00_c16,causal,seen_source_fresh_receiver,original_training,direct,explicit,,632929453,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,9,water_impact,eval7m_m00_c19,causal,seen_source_fresh_receiver,augmentation_bank,direct,implicit,,582919908,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,10,water_impact,eval7m_m00_c21,causal,seen_source_fresh_receiver,augmentation_bank,natural,explicit,,1895920428,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,11,water_impact,eval7m_m00_c22,causal,seen_source_fresh_receiver,original_training,natural,implicit,,1555782329,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,12,water_impact,eval7m_m00_c25,specificity,specificity,original_training,direct,,role_swap_or_near_causal,1382233039,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,13,water_impact,eval7m_m00_c26,specificity,specificity,original_training,direct,,same_footprint_alternative_cause,967397898,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,14,water_impact,eval7m_m00_c27,specificity,specificity,original_training,natural,,same_noun_noncausal,850686276,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,15,water_impact,eval7m_m00_c29,specificity,specificity,original_training,natural,,same_footprint_alternative_cause,1467902954,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,16,water_impact,eval7m_m00_c30,specificity,specificity,augmentation_bank,direct,,same_noun_noncausal,1807672811,"matched_control,V4","generic_paraphrase,bystander_token"
