# Water-drop scene capability probe, part B (15 prompts)
# Temporal template: stable receiver, visible fall, visible contact, effect only after contact.
# Format: <prompt> | <target> | <effect>

# Absorbent surfaces (last 3 of 6)
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean yellow kitchen sponge remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the sponge. Only after contact, the water is absorbed and a darker wet area slowly grows. | single falling water droplet | a darker absorbed wet area grows only after contact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain. | single falling water droplet | a dark wet mark appears and spreads only after contact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat sheet of white tissue paper remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the tissue. Only after contact, a translucent wet mark appears and slowly expands. | single falling water droplet | a translucent wet mark appears and expands only after contact

# Granular surfaces (6)
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth bed of fine dry sand remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the sand. Only after impact, a small crater forms and the sand around it becomes darker. | single falling water droplet | a small crater and darkened sand appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth bed of loose dry soil remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the soil. Only after impact, a small depression and a dark damp spot appear. | single falling water droplet | a small depression and damp spot appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth layer of white flour remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the flour. Only after impact, a small crater forms, nearby powder moves outward, and a damp spot appears. | single falling water droplet | a crater, displaced powder, and damp spot appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small smooth pile of dry white salt remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the top of the salt. Only after impact, a small indentation forms and a few grains scatter outward. | single falling water droplet | an indentation and scattered grains appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth bed of dry coffee grounds remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the grounds. Only after impact, a small depression and a darker damp patch appear. | single falling water droplet | a depression and dark damp patch appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth layer of pale chalk dust remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the dust. Only after impact, a small crater forms, dust moves outward, and a damp spot appears. | single falling water droplet | a crater, displaced dust, and damp spot appear only after impact

# Flexible surfaces (6)
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a broad fresh green leaf remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the leaf. Only after impact, the leaf bends downward, rebounds, and the water spreads over its surface. | single falling water droplet | the leaf bends and rebounds only after impact
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a broad pale flower petal remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the petal. Only after impact, the petal bends downward and gently vibrates. | single falling water droplet | the flower petal bends and vibrates only after impact
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a small piece of thin white fabric stretched tightly across a frame remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the fabric. Only after impact, the fabric dips downward, rebounds, and a wet spot appears. | single falling water droplet | the stretched fabric dips and rebounds only after impact
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a sheet of thin transparent plastic film stretched across a frame remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the film. Only after impact, the film flexes downward and rebounds while the water spreads. | single falling water droplet | the plastic film flexes and rebounds only after impact
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a single fresh blade of grass remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the middle of the grass blade. Only after impact, the blade bends downward and slowly springs back. | single falling water droplet | the grass blade bends and springs back only after impact
A realistic fixed-camera macro slow-motion video in one continuous shot. During the first two seconds, a narrow strip of white paper hangs vertically and remains completely dry and motionless. Then one large clear water droplet enters from above, falls visibly downward, and strikes the middle of the paper strip. Only after impact, the strip bends, begins to swing, and a small wet mark appears. | single falling water droplet | the paper strip bends and swings only after impact
