gate_id,family,receiver,overall_decision,clean_prefix,receiver_match,fall_contact,footprint_match,notes
wdg000,liquid_surface,calm shallow pond,pass,short,partial,pass,pass,"Clear fall, contact, crown, and ripples; clean prefix is shorter than requested."
wdg001,liquid_surface,rectangular glass aquarium,pass,short,pass,pass,pass,"Aquarium and causal water response are clear; clean prefix is shorter than two seconds."
wdg002,liquid_surface,transparent measuring jug,pass,short,partial,pass,pass,"Container resembles a plain glass rather than a measuring jug, but the causal chain is usable."
wdg003,liquid_surface,stemmed wine glass,borderline,very_short,pass,pass,partial,"Only the opening frame is clean and the splash becomes excessively large."
wdg004,liquid_surface,shallow shower tray,fail,pass,partial,fail,partial,"Ripples appear without a clearly visible falling droplet and contact."
wdg005,hard_surface,dark-gray ceramic tile,pass,pass,pass,pass,pass,"Long clean tile prefix followed by a visible drop, contact, and local splash."
wdg006,hard_surface,blue plastic cutting board,fail,fail,partial,fail,fail,"The drop remains at the board edge and no clear impact footprint is produced."
wdg007,hard_surface,vinyl flooring sample,fail,pass,partial,partial,partial,"A second droplet appears and the surface behaves more like a liquid mesh."
wdg008,hard_surface,polished copper plate,fail,pass,pass,fail,partial,"Multiple stream-like water structures appear instead of one clean droplet event."
wdg009,hard_surface,clear acrylic sheet,pass,short,pass,pass,pass,"Visible fall, contact, splash, and persistent bead on a recognizable clear sheet."
wdg010,absorbent_surface,white paper towel,fail,pass,partial,partial,fail,"The water becomes a glossy black pool rather than an absorbed wet patch."
wdg011,absorbent_surface,white blotting paper,fail,pass,partial,partial,fail,"Late black liquid mound does not resemble compact absorption."
wdg012,absorbent_surface,paper coffee filter,fail,pass,fail,partial,partial,"Receiver resembles a rigid plank and not a coffee filter."
wdg013,absorbent_surface,dense felt sheet,fail,pass,pass,partial,fail,"A gray liquid puddle remains on top instead of soaking into felt."
wdg014,absorbent_surface,dense foam sponge,fail,short,partial,fail,fail,"Multiple droplets and an implausible dark hole/pool replace absorption."
wdg015,granular_surface,fine dry sand,fail,fail,pass,pass,partial,"A crater-like depression exists before contact, so the footprint is not newly caused."
wdg016,granular_surface,dry potting soil,fail,pass,pass,pass,fail,"The droplet rests on the mound without indentation, scattering, or damp clumping."
wdg017,granular_surface,white cornstarch,fail,pass,fail,partial,fail,"Receiver resembles beads and the result is a surface puddle."
wdg018,granular_surface,coarse rock salt,fail,short,pass,fail,partial,"Multiple droplet events occur and the salt response is inconsistent."
wdg019,granular_surface,dry black tea leaves,fail,pass,pass,pass,fail,"The droplet sits on top without the requested indentation or damp clump."
wdg020,liquid_surface,stainless-steel pet water bowl,pass,short,pass,pass,pass,"Recognizable bowl with clear fall, impact cavity, and ripples."
wdg021,liquid_surface,clear acrylic tank,pass,short,pass,pass,pass,"Clear tank, visible contact, low splash, and outward ripples."
wdg022,liquid_surface,coconut-shell cup,fail,short,pass,pass,fail,"The splash grows into a large water plane that unrealistically engulfs the cup."
wdg023,liquid_surface,puddle on microscope slide,borderline,short,fail,pass,pass,"Causal water response is clear, but the microscope slide is not recognizable."
wdg024,liquid_surface,rectangular water trough,pass,short,partial,pass,pass,"Trough is abstract but visible; falling drop and ripple chain are usable."
wdg025,hard_surface,lacquered wood panel,borderline,pass,pass,pass,partial,"Contact occurs only at the final frame, leaving too little post-contact evidence."
wdg026,hard_surface,polished stone coaster,pass,pass,pass,pass,pass,"Long clean prefix, recognizable coaster, visible contact, and local wet footprint."
wdg027,hard_surface,porcelain bathtub ledge,fail,pass,pass,fail,partial,"A footprint appears without a visible falling droplet or contact."
wdg028,hard_surface,smooth whiteboard panel,fail,pass,partial,fail,fail,"The droplet never reaches the surface within the video."
wdg029,hard_surface,sealed concrete paver,fail,short,fail,fail,fail,"Surface is not recognizable and multiple droplet/footprint events appear."
wdg030,absorbent_surface,dry plaster surface,borderline,pass,pass,partial,partial,"A localized dark spot forms, but it is overly uniform and contact is weakly shown."
wdg031,absorbent_surface,dry mortar sample,fail,pass,fail,fail,partial,"The wet mark begins before the visible droplet arrives."
wdg032,absorbent_surface,unfinished cedar board,fail,pass,pass,pass,fail,"Water remains as a glossy surface puddle instead of soaking along the grain."
wdg033,absorbent_surface,untreated nubuck,fail,short,partial,fail,fail,"Multiple droplets appear and form an implausible black pool."
wdg034,absorbent_surface,paper egg carton,fail,pass,fail,pass,fail,"Receiver is a flat pulp surface and the footprint behaves like a liquid pool."
wdg035,granular_surface,dry cement powder,fail,pass,pass,partial,fail,"A black liquid pool forms without a dent or bound damp particles."
wdg036,granular_surface,clear glass beads,fail,fail,partial,partial,fail,"A crater exists from the opening and the response becomes a black pool."
wdg037,granular_surface,dry couscous grains,fail,pass,pass,pass,fail,"The droplet rests on the mound without indentation or scattered grains."
wdg038,granular_surface,ground paprika powder,fail,pass,pass,pass,fail,"The result is a black liquid puddle without a granular dent or damp cluster."
wdg039,granular_surface,aquarium gravel,fail,short,pass,partial,fail,"The gravel behaves like a liquid ripple surface and later forms a black pool."
