pair_id,sample_id,batch,seed,receiver,receiver_key,footprint_family,split,prompt,target_concept,expected_effect,factual_video,target_video,clean_reference,reference_end_exclusive,first_frame_reference_mae_255
waterdrop_000,wd001,seed8300,8301,glass bowl filled with water,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",single falling water droplet,a small splash and circular ripples begin only after contact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8301.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd001_seed8301/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd001_seed8301/clean_reference.png,20,1.0817
waterdrop_001,wd002,seed8300,8302,ceramic cup filled with water,cup,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a plain white ceramic cup remains calm and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the cup, and contacts the water. Only after contact, the liquid makes a small splash and begins to ripple.",single falling water droplet,the water splashes and ripples only after contact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/002_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8302.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd002_seed8302/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd002_seed8302/clean_reference.png,20,0.4455
waterdrop_002,wd007,seed8300,8307,stainless-steel tray,tray,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean stainless-steel tray remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the tray. Only after impact, water splashes outward and small beads remain on the metal.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8307.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd007_seed8307/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd007_seed8307/clean_reference.png,2,0.4705
waterdrop_003,wd008,seed8300,8308,glass tabletop,glass_tabletop,splash_wet_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface.",single falling water droplet,a splash and clear water beads appear only after impact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8308.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd008_seed8308/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd008_seed8308/clean_reference.png,5,0.4894
waterdrop_004,wd010,seed8300,8310,ceramic plate,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic plate remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the plate. Only after impact, water splashes outward and forms a small shallow puddle.",single falling water droplet,a splash and shallow puddle appear only after impact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8310.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd010_seed8310/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd010_seed8310/clean_reference.png,16,0.7690
waterdrop_005,wd016,seed8300,8316,unfinished pale wood,wood,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain.",single falling water droplet,a dark wet mark appears and spreads only after contact,outputs/waterdrop_scene_probe30_wan_seed8300_8329/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8316.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd016_seed8316/counterfactual_static.mp4,outputs/waterdrop_static_pass6_aligned_pairs/wd016_seed8316/clean_reference.png,20,1.0950
waterdrop_006,wdr000,seed8400,8400,calm shallow pond,pond,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, the perfectly flat surface of a calm shallow pond remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water. Only after contact, a small crown splash appears and new concentric ripples spread outward.",single falling water droplet,a crown splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8400.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr000_seed8400/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr000_seed8400/clean_reference.png,16,0.6259
waterdrop_007,wdr001,seed8400,8401,glass bowl filled with water,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",single falling water droplet,a small splash and circular ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8401.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr001_seed8401/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr001_seed8401/clean_reference.png,16,0.8393
waterdrop_008,wdr003,seed8400,8403,metal bucket filled with water,bucket,splash_ripple,internal_receiver_holdout,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a clean metal bucket remains flat and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the bucket, and contacts the water. Only after contact, a small splash and spreading ripples appear.",single falling water droplet,a splash and spreading ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/003_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8403.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr003_seed8403/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr003_seed8403/clean_reference.png,20,0.8103
waterdrop_009,wdr004,seed8400,8404,shallow puddle,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear.",single falling water droplet,a small splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8404.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr004_seed8404/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr004_seed8404/clean_reference.png,12,0.7123
waterdrop_010,wdr005,seed8400,8405,aquarium water surface,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the upper water surface inside a clean empty aquarium remains completely flat and still. Then one large clear water droplet enters from above, falls visibly downward, and contacts the center of the water surface. Only after contact, a small splash and outward-moving ripples appear.",single falling water droplet,a splash and outward-moving ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/005_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8405.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr005_seed8405/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr005_seed8405/clean_reference.png,16,0.7613
waterdrop_011,wdr006,seed8400,8406,dark-gray ceramic tile,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms.",single falling water droplet,a radial splash and wet spot begin only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8406.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr006_seed8406/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr006_seed8406/clean_reference.png,20,1.1520
waterdrop_012,wdr008,seed8400,8408,glass tabletop,glass_tabletop,splash_wet_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface.",single falling water droplet,a splash and clear water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8408.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr008_seed8408/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr008_seed8408/clean_reference.png,8,0.6874
waterdrop_013,wdr009,seed8400,8409,dark marble slab,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished dark marble slab remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the marble. Only after impact, water splashes outward and a dark wet spot remains.",single falling water droplet,a splash and dark wet spot appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/009_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8409.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr009_seed8409/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr009_seed8409/clean_reference.png,8,1.7726
waterdrop_014,wdr010,seed8400,8410,ceramic plate,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic plate remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the plate. Only after impact, water splashes outward and forms a small shallow puddle.",single falling water droplet,a splash and shallow puddle appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/010_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8410.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr010_seed8410/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr010_seed8410/clean_reference.png,16,0.4896
waterdrop_015,wdr011,seed8400,8411,plastic cutting board,cutting_board,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean blue plastic cutting board remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the board. Only after impact, water splashes outward and small beads remain.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/011_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8411.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr011_seed8411/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr011_seed8411/clean_reference.png,4,0.6412
waterdrop_016,wdr012,seed8400,8412,cotton towel,absorbent_fabric,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a folded white cotton towel remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the towel. Only after contact, a darker wet patch appears and slowly spreads into the cotton.",single falling water droplet,a dark wet patch appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/012_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8412.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr012_seed8412/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr012_seed8412/clean_reference.png,28,0.9152
waterdrop_017,wdr014,seed8400,8414,brown cardboard,cardboard,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat piece of plain brown cardboard remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the cardboard. Only after contact, a small dark wet spot appears and slowly spreads outward.",single falling water droplet,a dark wet spot appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_a/videos/014_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8414.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr014_seed8414/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr014_seed8414/clean_reference.png,12,0.8935
waterdrop_018,wdr016,seed8400,8416,unfinished pale wood,wood,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain.",single falling water droplet,a dark wet mark appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8416.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr016_seed8416/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr016_seed8416/clean_reference.png,16,1.2675
waterdrop_019,wdr017,seed8400,8417,tissue paper,absorbent_fabric,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat sheet of white tissue paper remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the tissue. Only after contact, a translucent wet mark appears and slowly expands.",single falling water droplet,a translucent wet mark appears and expands only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_b/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8417.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr017_seed8417/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr017_seed8417/clean_reference.png,20,0.6490
waterdrop_020,wdr018,seed8400,8418,fine dry sand,particulate,crater_or_damp_particle_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth bed of fine dry sand remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the sand. Only after impact, a small crater forms and the sand around it becomes darker.",single falling water droplet,a small crater and darkened sand appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_b/videos/003_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8418.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr018_seed8418/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr018_seed8418/clean_reference.png,16,1.6588
waterdrop_021,wdr020,seed8400,8420,white flour,particulate,crater_or_damp_particle_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth layer of white flour remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the flour. Only after impact, a small crater forms, nearby powder moves outward, and a damp spot appears.",single falling water droplet,"a crater, displaced powder, and damp spot appear only after impact",outputs/waterdrop_scene_probe30_repeat_wan_seed8400_8429/part_b/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8420.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr020_seed8420/counterfactual_static.mp4,outputs/waterdrop_repeat_pass16_aligned_pairs/wdr020_seed8420/clean_reference.png,8,0.7250
waterdrop_022,wds000,seed8500,8500,calm shallow pond,pond,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, the perfectly flat surface of a calm shallow pond remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water. Only after contact, a small crown splash appears and new concentric ripples spread outward.",single falling water droplet,a crown splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8500.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds000_seed8500/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds000_seed8500/clean_reference.png,12,0.6273
waterdrop_023,wds001,seed8500,8501,glass bowl filled with water,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",single falling water droplet,a small splash and circular ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8501.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds001_seed8501/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds001_seed8501/clean_reference.png,24,1.0512
waterdrop_024,wds003,seed8500,8503,metal bucket filled with water,bucket,splash_ripple,internal_receiver_holdout,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a clean metal bucket remains flat and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the bucket, and contacts the water. Only after contact, a small splash and spreading ripples appear.",single falling water droplet,a splash and spreading ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/003_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8503.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds003_seed8503/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds003_seed8503/clean_reference.png,16,0.7340
waterdrop_025,wds004,seed8500,8504,shallow puddle,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear.",single falling water droplet,a small splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8504.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds004_seed8504/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds004_seed8504/clean_reference.png,12,0.7450
waterdrop_026,wds006,seed8500,8506,dark-gray ceramic tile,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms.",single falling water droplet,a radial splash and wet spot begin only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8506.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds006_seed8506/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds006_seed8506/clean_reference.png,12,0.9338
waterdrop_027,wds007,seed8500,8507,stainless-steel tray,tray,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean stainless-steel tray remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the tray. Only after impact, water splashes outward and small beads remain on the metal.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8507.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds007_seed8507/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds007_seed8507/clean_reference.png,8,1.1804
waterdrop_028,wds008,seed8500,8508,glass tabletop,glass_tabletop,splash_wet_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface.",single falling water droplet,a splash and clear water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8508.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds008_seed8508/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds008_seed8508/clean_reference.png,16,0.8480
waterdrop_029,wds012,seed8500,8512,cotton towel,absorbent_fabric,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a folded white cotton towel remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the towel. Only after contact, a darker wet patch appears and slowly spreads into the cotton.",single falling water droplet,a dark wet patch appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/012_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8512.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds012_seed8512/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds012_seed8512/clean_reference.png,28,0.7991
waterdrop_030,wds014,seed8500,8514,brown cardboard,cardboard,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat piece of plain brown cardboard remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the cardboard. Only after contact, a small dark wet spot appears and slowly spreads outward.",single falling water droplet,a dark wet spot appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_a/videos/014_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8514.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds014_seed8514/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds014_seed8514/clean_reference.png,4,1.2344
waterdrop_031,wds015,seed8500,8515,kitchen sponge,sponge,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean yellow kitchen sponge remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the sponge. Only after contact, the water is absorbed and a darker wet area slowly grows.",single falling water droplet,a darker absorbed wet area grows only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_b/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8515.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds015_seed8515/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds015_seed8515/clean_reference.png,28,1.9931
waterdrop_032,wds016,seed8500,8516,unfinished pale wood,wood,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain.",single falling water droplet,a dark wet mark appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8516.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds016_seed8516/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds016_seed8516/clean_reference.png,16,1.4248
waterdrop_033,wds023,seed8500,8523,chalk dust,chalk,crater_or_damp_particle_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth layer of pale chalk dust remains completely undisturbed. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the dust. Only after impact, a small crater forms, dust moves outward, and a damp spot appears.",single falling water droplet,"a crater, displaced dust, and damp spot appear only after impact",outputs/waterdrop_scene_probe30_repeat_wan_seed8500_8529/part_b/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8523.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds023_seed8523/counterfactual_static.mp4,outputs/waterdrop_seed8500_pass13_aligned_pairs/wds023_seed8523/clean_reference.png,12,0.8165
