scene_id,source_scene_id,receiver_id,family,receiver,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt,selection_source
wdresting000,wdsimple0152,hard_surface_01,hard_surface,stainless-steel tray,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a stainless-steel tray. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting001,wdsimple0154,hard_surface_02,hard_surface,transparent glass tabletop,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a transparent glass tabletop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting002,wdsimple0160,hard_surface_05,hard_surface,blue plastic cutting board,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a blue plastic cutting board. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting005,wdsimple0178,hard_surface_14,hard_surface,flat chrome-plated shelf,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat chrome-plated shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting006,wdsimple0182,hard_surface_16,hard_surface,polished copper plate,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a polished copper plate. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting007,wdsimple0186,hard_surface_18,hard_surface,steel workbench top,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a steel workbench top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting010,wdsimple0206,hard_surface_28,hard_surface,painted metal cabinet top,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a painted metal cabinet top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting011,wdsimple0208,hard_surface_29,hard_surface,tempered-glass refrigerator shelf,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a tempered-glass refrigerator shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting016,wdsimple0232,hard_surface_41,hard_surface,laptop glass trackpad,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a laptop glass trackpad. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdresting017,wdsimple0236,hard_surface_43,hard_surface,laboratory resin worktop,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a laboratory resin worktop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout.",original_resting20
wdreplenish002,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white quartz countertop. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout.",replenish30
wdreplenish003,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white quartz countertop. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout.",replenish30
wdreplenish004,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a porcelain sink ledge. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout.",replenish30
