review_id,item_index,seed_index,video_path,video_exists,strip_path,strip_exists,target_concept,footprint_definition,source_prompt,target_visible,footprint_visible,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,reviewer_id,notes
c01_002_s02_3f9108f13a,2,2,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",absent,present,yes,yes,no,no,synthetic,
c01_001_s02_82cb40ea47,1,2,,false,,false,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the target is clearly visible, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames.",absent,absent,yes,yes,no,no,synthetic,
c01_002_s03_607bcd79c5,2,3,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",absent,absent,yes,yes,no,no,synthetic,
c01_001_s02_19ccb37a04,1,2,,false,,false,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the target is clearly visible, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames.",present,present,yes,yes,no,no,synthetic,
c01_002_s03_6dab4e781c,2,3,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",present,present,yes,yes,no,no,synthetic,
c01_002_s03_7331db3cd5,2,3,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",absent,present,yes,yes,no,no,synthetic,
c01_001_s01_599f082dcd,1,1,,false,,false,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the target is clearly visible, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames.",present,absent,yes,yes,no,no,synthetic,
c01_002_s01_80c623e06d,2,1,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",absent,present,yes,yes,no,no,synthetic,
c01_002_s02_b9c74aeaf5,2,2,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",present,present,yes,yes,no,no,synthetic,
c01_002_s04_efa48063f7,2,4,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",present,absent,yes,yes,no,no,synthetic,
c01_000_s03_7fb8876c43,0,3,,false,,false,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",absent,present,yes,yes,no,no,synthetic,
c01_002_s00_6faa330d68,2,0,,false,,false,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",present,absent,yes,yes,no,no,synthetic,
c01_000_s01_2abce3c884,0,1,,false,,false,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",absent,absent,yes,yes,no,no,synthetic,
c01_000_s01_a12a0b60eb,0,1,,false,,false,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",absent,present,yes,yes,no,no,synthetic,
c01_000_s00_6942e98f83,0,0,,false,,false,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",present,present,yes,yes,no,no,synthetic,
c01_001_s02_07eb10858d,1,2,,false,,false,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the target is clearly visible, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames.",absent,present,yes,yes,no,no,synthetic,
