# Target-only control: one resting water bead on a hard surface.
# Format: <prompt> | <target> | <expected effect>

A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a stainless-steel tray. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a transparent glass tabletop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a blue plastic cutting board. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a white quartz countertop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a porcelain sink ledge. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat chrome-plated shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a polished copper plate. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a steel workbench top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a clear glass plate. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a rigid white PVC board. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a painted metal cabinet top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a tempered-glass refrigerator shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat wall mirror. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a glazed ceramic coaster. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout. | single water droplet | no causal footprint
