eval_index,source_test_index,protocol_version,pair_id,split,generalization_group,mechanism,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,training_prompt,target_generation_prompt,expected_factual_event,expected_counterfactual_state,seed,num_frames,fps,factual_video,desired_target_video
0,1,water_impact_dynamic_v1,widyn_test_0001_gray_stone_glass_bowl_natural,test,unseen_source,object_enters_water,gray_stone,one smooth gray stone,no,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one smooth gray stone drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26001,49,8,,
1,4,water_impact_dynamic_v1,widyn_test_0004_yellow_ball_shallow_pond_direct,test,unseen_source,object_enters_water,yellow_ball,one small yellow rubber ball,no,shallow_pond,a calm shallow pond,yes,direct,"A simple realistic close-up video in one continuous shot. One small yellow rubber ball falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26004,49,8,,
2,6,water_impact_dynamic_v1,widyn_test_0006_yellow_ball_white_basin_direct,test,unseen_source,object_enters_water,yellow_ball,one small yellow rubber ball,no,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One small yellow rubber ball falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26006,49,8,,
3,8,water_impact_dynamic_v1,widyn_test_0008_walnut_shallow_pond_direct,test,unseen_source,object_enters_water,walnut,one whole brown walnut,no,shallow_pond,a calm shallow pond,yes,direct,"A simple realistic close-up video in one continuous shot. One whole brown walnut falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26008,49,8,,
4,11,water_impact_dynamic_v1,widyn_test_0011_walnut_glass_tank_natural,test,unseen_source,object_enters_water,walnut,one whole brown walnut,no,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one whole brown walnut drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26011,49,8,,
5,13,water_impact_dynamic_v1,widyn_test_0013_strawberry_glass_bowl_natural,test,unseen_source,object_enters_water,strawberry,one ripe red strawberry,no,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one ripe red strawberry drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26013,49,8,,
6,14,water_impact_dynamic_v1,widyn_test_0014_strawberry_white_basin_direct,test,unseen_source,object_enters_water,strawberry,one ripe red strawberry,no,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One ripe red strawberry falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26014,49,8,,
7,18,water_impact_dynamic_v1,widyn_test_0018_ceramic_bead_white_basin_direct,test,unseen_source,object_enters_water,ceramic_bead,one white ceramic bead,no,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One white ceramic bead falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26018,49,8,,
8,19,water_impact_dynamic_v1,widyn_test_0019_ceramic_bead_glass_tank_natural,test,unseen_source,object_enters_water,ceramic_bead,one white ceramic bead,no,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one white ceramic bead drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26019,49,8,,
9,21,water_impact_dynamic_v1,widyn_test_0021_pine_cone_glass_bowl_natural,test,unseen_source,object_enters_water,pine_cone,one small brown pine cone,no,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small brown pine cone drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26021,49,8,,
