sample_id,mechanism,generalization_group,source_object,receiver,expected_footprint,source_visible,footprint_visible,causal_order_valid,receiver_correct,quality_ok,gate_pass,notes
eval_water_impact_seen_seen_00,water_impact,seen_seen,one large clear water droplet,a calm shallow pond,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_seen_01,water_impact,seen_seen,one large clear water droplet,a wide white ceramic basin filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_seen_02,water_impact,seen_seen,one large clear water droplet,a clear rectangular glass tank filled with water,a brief splash and expanding circular ripples,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_water_impact_seen_seen_03,water_impact,seen_seen,one small clear ice cube,a calm shallow pond,a brief splash and expanding circular ripples,partial,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_water_impact_seen_seen_04,water_impact,seen_seen,one small clear ice cube,a wide white ceramic basin filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_seen_00,water_impact,unseen_seen,one smooth gray stone,a calm shallow pond,a brief splash and expanding circular ripples,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_water_impact_unseen_seen_01,water_impact,unseen_seen,one smooth gray stone,a wide white ceramic basin filled with water,a brief splash and expanding circular ripples,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_water_impact_unseen_seen_02,water_impact,unseen_seen,one smooth gray stone,a clear rectangular glass tank filled with water,a brief splash and expanding circular ripples,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_water_impact_unseen_seen_03,water_impact,unseen_seen,one small yellow rubber ball,a calm shallow pond,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_seen_04,water_impact,unseen_seen,one small yellow rubber ball,a wide white ceramic basin filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_unseen_00,water_impact,seen_unseen,one large clear water droplet,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_unseen_01,water_impact,seen_unseen,one large clear water droplet,a wide blue plastic tub filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_unseen_02,water_impact,seen_unseen,one small clear ice cube,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_unseen_03,water_impact,seen_unseen,one small clear ice cube,a wide blue plastic tub filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_seen_unseen_04,water_impact,seen_unseen,one small red apple,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_unseen_00,water_impact,unseen_unseen,one smooth gray stone,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_unseen_01,water_impact,unseen_unseen,one smooth gray stone,a wide blue plastic tub filled with water,a brief splash and expanding circular ripples,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_water_impact_unseen_unseen_02,water_impact,unseen_unseen,one small yellow rubber ball,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_unseen_03,water_impact,unseen_unseen,one small yellow rubber ball,a wide blue plastic tub filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_water_impact_unseen_unseen_04,water_impact,unseen_unseen,one smooth gray stone,a stainless-steel sink filled with water,a brief splash and expanding circular ripples,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_rigid_collision_seen_seen_00,rigid_collision,seen_seen,one small red rubber ball,three plain wooden blocks standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_seen_01,rigid_collision,seen_seen,one small red rubber ball,four small white plastic bowling pins,a tipped contacted object and visible displacement of nearby objects,no,no,no,yes,yes,no,source is absent and the expected receiver response is absent
