sample_id,seed,part,index,receiver,decision,reference_end_exclusive,notes
wdt000,8600,part_a,0,calm shallow pond,pass,12,"Clean water prefix; visible contact, crown, and expanding ripples."
wdt001,8601,part_a,1,glass bowl filled with water,pass,28,"Long stable bowl prefix; late visible splash and ripples."
wdt002,8602,part_a,2,ceramic cup filled with water,pass,24,"Recognizable cup; clean prefix followed by drop and upward splash."
wdt003,8603,part_a,3,metal bucket filled with water,pass,12,"Recognizable metal receiver; clean prefix and visible impact sequence."
wdt004,8604,part_a,4,shallow puddle,pass,12,"Clean pale water surface; visible fall, contact, cavity, and ripples."
wdt005,8605,part_a,5,aquarium water surface,pass,12,"Stable aquarium surface prefix; visible contact and splash."
wdt006,8606,part_a,6,dark-gray ceramic tile,pass,24,"Clean dry tile prefix; visible impact and persistent wet footprint."
wdt007,8607,part_a,7,stainless-steel tray,pass,16,"Clean tray prefix; visible contact, crown splash, and remaining water."
wdt008,8608,part_a,8,glass tabletop,pass,12,"Stable glass-like surface; visible impact and spreading liquid footprint."
wdt009,8609,part_a,9,dark marble slab,fail,,"The droplet becomes an implausible large black object and footprint."
wdt010,8610,part_a,10,ceramic plate,fail,,"The plate is not recognizable against the background."
wdt011,8611,part_a,11,plastic cutting board,pass,32,"Stable recognizable blue board; visible drop and wet impact footprint."
wdt012,8612,part_a,12,cotton towel,fail,,"The water behaves as a surface puddle rather than soaking into the towel."
wdt013,8613,part_a,13,cotton cloth,fail,,"A droplet is visible from the opening and the cloth response is implausible."
wdt014,8614,part_a,14,brown cardboard,fail,,"The water drop is already visible at the opening and becomes black liquid."
wdt015,8615,part_b,0,kitchen sponge,pass,4,"Recognizable sponge; short clean prefix followed by spreading wet discoloration."
wdt016,8616,part_b,1,unfinished pale wood,fail,,"A droplet is visible in the opening frame, so no strict clean prefix exists."
wdt017,8617,part_b,2,tissue paper,fail,,"The tissue neither absorbs nor deforms after contact."
wdt018,8618,part_b,3,fine dry sand,fail,,"A hole appears before the falling droplet makes contact."
wdt019,8619,part_b,4,dry soil,fail,,"The soil behaves like a liquid splash instead of forming a damp footprint."
wdt020,8620,part_b,5,white flour,fail,,"The droplet appears to hover and the causal footprint is too weak."
wdt021,8621,part_b,6,white salt,fail,,"Water beads on top without a clear salt displacement footprint."
wdt022,8622,part_b,7,coffee grounds,pass,12,"Clean recognizable grounds; visible contact and persistent dark wet footprint."
wdt023,8623,part_b,8,chalk dust,fail,,"The falling water becomes a bent tube-like artifact."
wdt024,8624,part_b,9,green leaf,fail,,"The leaf does not bend and is overwhelmed by a liquid-like splash."
wdt025,8625,part_b,10,flower petal,fail,,"The petal does not show a reliable bend or rebound."
wdt026,8626,part_b,11,stretched fabric,fail,,"The fabric does not visibly dip when contacted."
wdt027,8627,part_b,12,plastic film,fail,,"The scene resembles a water tank and the film does not flex."
wdt028,8628,part_b,13,grass blade,fail,,"The blades do not show a reliable causal bend."
wdt029,8629,part_b,14,paper strip,fail,,"The interaction is visually ambiguous and does not show a clean swing."
