protocol_version,sample_id,scene_id,training_role,mechanism,split,generalization_group,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,prompt,target_concept,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,reference_start_inclusive,reference_end_exclusive,generated_video,desired_target_video,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video
v1,train_water_impact_water_droplet_shallow_pond_explicit_full,train_water_impact_water_droplet_shallow_pond_explicit_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Then one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. Only after contact, the event produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_000/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_000/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_explicit_full/counterfactual_static.mp4
v1,train_water_impact_water_droplet_shallow_pond_concise_full,train_water_impact_water_droplet_shallow_pond_concise_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. After the quiet opening, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact; this produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_001/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_001/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_concise_full/counterfactual_static.mp4
v1,train_water_impact_water_droplet_shallow_pond_contact_only,train_water_impact_water_droplet_shallow_pond_contact_only,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,contact_only,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. After the quiet opening, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. The event continues naturally after contact. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_002/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_contact_only/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_002/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_contact_only/counterfactual_static.mp4
v1,train_water_impact_water_droplet_shallow_pond_natural_implicit,train_water_impact_water_droplet_shallow_pond_natural_implicit,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,natural_implicit,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. The continuous shot then shows an ordinary physical event in which one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_003/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_natural_implicit/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_003/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_shallow_pond_natural_implicit/counterfactual_static.mp4
v1,train_water_impact_water_droplet_white_basin_explicit_full,train_water_impact_water_droplet_white_basin_explicit_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. Then one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. Only after contact, the event produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_004/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_004/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_explicit_full/counterfactual_static.mp4
v1,train_water_impact_water_droplet_white_basin_concise_full,train_water_impact_water_droplet_white_basin_concise_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After the quiet opening, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact; this produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_005/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_005/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_concise_full/counterfactual_static.mp4
v1,train_water_impact_water_droplet_white_basin_contact_only,train_water_impact_water_droplet_white_basin_contact_only,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,contact_only,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After the quiet opening, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. The event continues naturally after contact. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_006/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_contact_only/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_006/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_contact_only/counterfactual_static.mp4
v1,train_water_impact_water_droplet_white_basin_natural_implicit,train_water_impact_water_droplet_white_basin_natural_implicit,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,natural_implicit,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The continuous shot then shows an ordinary physical event in which one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_007/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_natural_implicit/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_007/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_white_basin_natural_implicit/counterfactual_static.mp4
v1,train_water_impact_water_droplet_glass_tank_explicit_full,train_water_impact_water_droplet_glass_tank_explicit_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. Then one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. Only after contact, the event produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_008/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_glass_tank_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_008/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_glass_tank_explicit_full/counterfactual_static.mp4
v1,train_water_impact_water_droplet_glass_tank_concise_full,train_water_impact_water_droplet_glass_tank_concise_full,erase,water_impact,train,,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After the quiet opening, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact; this produces a brief splash and expanding circular ripples. The camera, lighting, water container, and background remain fixed throughout.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_009/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_glass_tank_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_009/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_water_impact_water_droplet_glass_tank_concise_full/counterfactual_static.mp4
