scene_id,source_scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,generation_prompt_type,result_mentioned_in_prompt,erase_instruction,seed_policy,prompt
wdimplicit0000,wdsimple0000,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0001,wdsimple0003,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0002,wdsimple0006,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0003,wdsimple0009,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0004,wdsimple0012,liquid_surface,surface_flow,liquid_surface_04,a shallow rain puddle on level pavement,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0005,wdsimple0015,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0006,wdsimple0018,liquid_surface,surface_flow,liquid_surface_06,a stainless-steel kitchen sink basin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0007,wdsimple0021,liquid_surface,surface_flow,liquid_surface_07,a white enamel washbasin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white enamel washbasin filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0008,wdsimple0024,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0009,wdsimple0027,liquid_surface,surface_flow,liquid_surface_09,a small garden fountain basin with the pump turned off,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small garden fountain basin with the pump turned off is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0010,wdsimple0030,liquid_surface,surface_flow,liquid_surface_10,a laboratory beaker filled with clear water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0011,wdsimple0033,liquid_surface,surface_flow,liquid_surface_11,a transparent measuring jug filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent measuring jug filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0012,wdsimple0036,liquid_surface,surface_flow,liquid_surface_12,a stainless-steel saucepan filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel saucepan filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0013,wdsimple0039,liquid_surface,surface_flow,liquid_surface_13,a black cooking pot filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a black cooking pot filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
