# Waterdrop prompt bank v2 simple, shard 0/5; fixed seed 9000.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel saucepan filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a porcelain soup bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear stemmed wine glass filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a wide-mouth mason jar filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a wide porcelain basin filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow white shower tray holding a thin layer of water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, an open metal pail filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, one compartment of a white ice-cube tray filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a carved granite basin filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished brass bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass baking dish filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow laboratory glass tray filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a black stone bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean coconut-shell cup filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a natural rock depression holding rainwater is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory petri dish filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a microscope glass slide is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rain-filled road pothole is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a still indoor decorative pool is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dark-gray ceramic tile is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished dark marble slab is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, granite countertop is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
