# Water-drop scene capability probe, part A (15 prompts)
# Temporal template: stable receiver, visible fall, visible contact, effect only after contact.
# Format: <prompt> | <target> | <effect>

# Liquid surfaces (6)
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, the perfectly flat surface of a calm shallow pond remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water. Only after contact, a small crown splash appears and new concentric ripples spread outward. | single falling water droplet | a crown splash and concentric ripples begin only after contact
A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl. | single falling water droplet | a small splash and circular ripples begin only after contact
A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a plain white ceramic cup remains calm and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the cup, and contacts the water. Only after contact, the liquid makes a small splash and begins to ripple. | single falling water droplet | the water splashes and ripples only after contact
A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a clean metal bucket remains flat and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the bucket, and contacts the water. Only after contact, a small splash and spreading ripples appear. | single falling water droplet | a splash and spreading ripples begin only after contact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear. | single falling water droplet | a small splash and concentric ripples begin only after contact
A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the upper water surface inside a clean empty aquarium remains completely flat and still. Then one large clear water droplet enters from above, falls visibly downward, and contacts the center of the water surface. Only after contact, a small splash and outward-moving ripples appear. | single falling water droplet | a splash and outward-moving ripples begin only after contact

# Hard non-absorbent surfaces (6)
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms. | single falling water droplet | a radial splash and wet spot begin only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean stainless-steel tray remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the tray. Only after impact, water splashes outward and small beads remain on the metal. | single falling water droplet | a splash and water beads appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface. | single falling water droplet | a splash and clear water beads appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished dark marble slab remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the marble. Only after impact, water splashes outward and a dark wet spot remains. | single falling water droplet | a splash and dark wet spot appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic plate remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the plate. Only after impact, water splashes outward and forms a small shallow puddle. | single falling water droplet | a splash and shallow puddle appear only after impact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean blue plastic cutting board remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the board. Only after impact, water splashes outward and small beads remain. | single falling water droplet | a splash and water beads appear only after impact

# Absorbent surfaces (first 3 of 6)
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a folded white cotton towel remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the towel. Only after contact, a darker wet patch appears and slowly spreads into the cotton. | single falling water droplet | a dark wet patch appears and spreads only after contact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat piece of light cotton cloth remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the cloth. Only after contact, a circular dark wet patch appears and slowly expands. | single falling water droplet | a circular wet patch appears and expands only after contact
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat piece of plain brown cardboard remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the cardboard. Only after contact, a small dark wet spot appears and slowly spreads outward. | single falling water droplet | a dark wet spot appears and spreads only after contact
