protocol_version,pair_id,split,generalization_group,mechanism,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,training_prompt,target_generation_prompt,expected_factual_event,expected_counterfactual_state,seed,num_frames,fps,factual_video,desired_target_video,scene_id,prompt,training_role,training_objective,generated_video,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video
water_impact_dynamic_v1,widyn_train_0000_water_droplet_shallow_pond_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26000,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/000_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26000.mp4,widyn_train_0000_water_droplet_shallow_pond_direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0001_water_droplet_shallow_pond_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a calm shallow pond. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26001,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/001_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26001.mp4,widyn_train_0001_water_droplet_shallow_pond_natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a calm shallow pond. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0002_water_droplet_glass_bowl_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a transparent glass mixing bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26002,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/002_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26002.mp4,widyn_train_0002_water_droplet_glass_bowl_direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a transparent glass mixing bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0003_water_droplet_glass_bowl_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26003,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/003_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26003.mp4,widyn_train_0003_water_droplet_glass_bowl_natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0005_water_droplet_white_basin_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a wide white ceramic basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26005,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/005_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26005.mp4,widyn_train_0005_water_droplet_white_basin_natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a wide white ceramic basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0006_water_droplet_glass_tank_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clear rectangular glass tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26006,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/006_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26006.mp4,widyn_train_0006_water_droplet_glass_tank_direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clear rectangular glass tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0007_water_droplet_glass_tank_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26007,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/007_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26007.mp4,widyn_train_0007_water_droplet_glass_tank_natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0008_water_droplet_metal_bucket_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,metal_bucket,a clean metal bucket filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clean metal bucket filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clean metal bucket filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26008,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/008_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26008.mp4,widyn_train_0008_water_droplet_metal_bucket_direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clean metal bucket filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0009_water_droplet_metal_bucket_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,metal_bucket,a clean metal bucket filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clean metal bucket filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clean metal bucket filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26009,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/009_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26009.mp4,widyn_train_0009_water_droplet_metal_bucket_natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clean metal bucket filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
water_impact_dynamic_v1,widyn_train_0010_water_droplet_kitchen_sink_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,kitchen_sink,a stainless-steel kitchen sink basin filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a stainless-steel kitchen sink basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a stainless-steel kitchen sink basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26010,49,8,,outputs/water_impact_dynamic_v1/train_targets_v1/videos/010_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26010.mp4,widyn_train_0010_water_droplet_kitchen_sink_direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a stainless-steel kitchen sink basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.",erase,dynamic_counterfactual_sft,,no,,
