prompt,seed,video_path,early_late_mae,adjacent_mae,motion_rank,selected
A yellow taxi drives along a city avenue as other vehicles travel in adjacent lanes.,14018,outputs/generic_preservation32_base/shard_1/videos/002_a-yellow-taxi-drives-along-a-city-avenue-as-other-vehicles-travel-in-adj_seed14018.mp4,0.28761628,0.14227994,1,yes
A close view of hands carefully folding a blue cotton shirt on a clean table.,14007,outputs/generic_preservation32_base/shard_0/videos/007_a-close-view-of-hands-carefully-folding-a-blue-cotton-shirt-on-a-clean-t_seed14007.mp4,0.23491466,0.05733875,2,yes
A wide shot of people browsing produce at an outdoor market with colorful stalls.,14012,outputs/generic_preservation32_base/shard_0/videos/012_a-wide-shot-of-people-browsing-produce-at-an-outdoor-market-with-colorfu_seed14012.mp4,0.20558985,0.06755908,3,yes
A person carries a stack of folded towels across a hotel hallway and enters an open room.,14031,outputs/generic_preservation32_base/shard_1/videos/015_a-person-carries-a-stack-of-folded-towels-across-a-hotel-hallway-and-ent_seed14031.mp4,0.19773218,0.02183266,4,yes
"A small dog walks across a grassy park, pauses near a bench, and looks toward the camera.",14005,outputs/generic_preservation32_base/shard_0/videos/005_a-small-dog-walks-across-a-grassy-park-pauses-near-a-bench-and-looks-tow_seed14005.mp4,0.17402501,0.07910631,5,yes
A person places sealed food containers one by one inside an open refrigerator.,14028,outputs/generic_preservation32_base/shard_1/videos/012_a-person-places-sealed-food-containers-one-by-one-inside-an-open-refrige_seed14028.mp4,0.14165647,0.01527402,6,yes
A child rolls a toy car slowly along an empty painted track without hitting any obstacle.,14030,outputs/generic_preservation32_base/shard_1/videos/014_a-child-rolls-a-toy-car-slowly-along-an-empty-painted-track-without-hitt_seed14030.mp4,0.14135079,0.03030242,7,yes
A bus arrives at a marked stop and several waiting passengers step toward its doors.,14026,outputs/generic_preservation32_base/shard_1/videos/010_a-bus-arrives-at-a-marked-stop-and-several-waiting-passengers-step-towar_seed14026.mp4,0.12779839,0.04618701,8,yes
A baker places several finished bread rolls in a neat row on a metal tray.,14010,outputs/generic_preservation32_base/shard_0/videos/010_a-baker-places-several-finished-bread-rolls-in-a-neat-row-on-a-metal-tra_seed14010.mp4,0.12556610,0.01649370,9,yes
A cyclist rides at a steady pace along a paved path bordered by trees.,14014,outputs/generic_preservation32_base/shard_0/videos/014_a-cyclist-rides-at-a-steady-pace-along-a-paved-path-bordered-by-trees_seed14014.mp4,0.11920904,0.03413246,10,yes
A medium shot of a person slowly opening a notebook and writing several lines with a black pen.,14003,outputs/generic_preservation32_base/shard_0/videos/003_a-medium-shot-of-a-person-slowly-opening-a-notebook-and-writing-several_seed14003.mp4,0.11276723,0.01918428,11,yes
A person slowly turns the pages of a large photography book on a desk.,14017,outputs/generic_preservation32_base/shard_1/videos/001_a-person-slowly-turns-the-pages-of-a-large-photography-book-on-a-desk_seed14017.mp4,0.11245446,0.02119066,12,yes
A library cart is pushed slowly down an aisle between tall shelves of books.,14022,outputs/generic_preservation32_base/shard_1/videos/006_a-library-cart-is-pushed-slowly-down-an-aisle-between-tall-shelves-of-bo_seed14022.mp4,0.10200141,0.03769779,13,yes
A city intersection at daytime with cars moving through green traffic lights and people waiting at the curb.,14008,outputs/generic_preservation32_base/shard_0/videos/008_a-city-intersection-at-daytime-with-cars-moving-through-green-traffic-li_seed14008.mp4,0.09636827,0.03334787,14,yes
A close-up video of a person tying the laces of a clean white sneaker.,14015,outputs/generic_preservation32_base/shard_0/videos/015_a-close-up-video-of-a-person-tying-the-laces-of-a-clean-white-sneaker_seed14015.mp4,0.08940850,0.04313181,15,yes
A person arranges colored pencils by length in a straight line on white paper.,14021,outputs/generic_preservation32_base/shard_1/videos/005_a-person-arranges-colored-pencils-by-length-in-a-straight-line-on-white_seed14021.mp4,0.07666336,0.01346851,16,yes
A realistic video of a horse walking calmly across a fenced field in afternoon light.,14023,outputs/generic_preservation32_base/shard_1/videos/007_a-realistic-video-of-a-horse-walking-calmly-across-a-fenced-field-in-aft_seed14023.mp4,0.06188758,0.01118188,17,yes
A stationary camera shows clouds moving slowly above a mountain valley in clear daylight.,14009,outputs/generic_preservation32_base/shard_0/videos/009_a-stationary-camera-shows-clouds-moving-slowly-above-a-mountain-valley-i_seed14009.mp4,0.04661541,0.00538609,18,yes
A person waters several potted houseplants beside a bright apartment window.,14011,outputs/generic_preservation32_base/shard_0/videos/011_a-person-waters-several-potted-houseplants-beside-a-bright-apartment-win_seed14011.mp4,0.04477425,0.00706223,19,yes
