sample_id,pair_id,row_index,chunk_index,chunk_total,frame_start,frame_end,frame_ids,sheet_path,video_path,target_concept,expected_effect,prompt
case_000,fluid_impact_pebble_pond_002,0,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/000_case_000_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water."
case_000,fluid_impact_pebble_pond_002,0,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/000_case_000_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water."
case_000,fluid_impact_pebble_pond_002,0,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/000_case_000_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water."
case_000,fluid_impact_pebble_pond_002,0,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/000_case_000_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water."
case_000,fluid_impact_pebble_pond_002,0,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/000_case_000_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water."
case_001,fracture_damage_rock_windshield_003,1,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/001_case_001_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed9101.mp4,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward."
case_001,fracture_damage_rock_windshield_003,1,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/001_case_001_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed9101.mp4,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward."
case_001,fracture_damage_rock_windshield_003,1,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/001_case_001_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed9101.mp4,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward."
case_001,fracture_damage_rock_windshield_003,1,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/001_case_001_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed9101.mp4,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward."
case_001,fracture_damage_rock_windshield_003,1,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_dryrun/chunk_sheets/001_case_001_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed9101.mp4,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward."
