scene_id,train_group_id,source_scene_id,receiver_id,family,receiver,condition,split,expected_generated_target,expected_generated_footprint,sft_target_condition,sft_target_scene_id,erase_instruction,fixed_seed,prompt
wdtrain00_explicit_causal,wdtrain00,wdsimple0150,hard_surface_00,hard_surface,dark-gray ceramic tile,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain00_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain00_target_only,wdtrain00,wdsimple0150,hard_surface_00,hard_surface,dark-gray ceramic tile,target_only,pilot_train,yes,no,clean_control,wdtrain00_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain00_unrelated_footprint,wdtrain00,wdsimple0150,hard_surface_00,hard_surface,dark-gray ceramic tile,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain00_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain00_clean_control,wdtrain00,wdsimple0150,hard_surface_00,hard_surface,dark-gray ceramic tile,clean_control,pilot_train,no,no,clean_control,wdtrain00_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark-gray ceramic tile in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain01_explicit_causal,wdtrain01,wdsimple0156,hard_surface_03,hard_surface,polished dark marble slab,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain01_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain01_target_only,wdtrain01,wdsimple0156,hard_surface_03,hard_surface,polished dark marble slab,target_only,pilot_train,yes,no,clean_control,wdtrain01_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain01_unrelated_footprint,wdtrain01,wdsimple0156,hard_surface_03,hard_surface,polished dark marble slab,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain01_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain01_clean_control,wdtrain01,wdsimple0156,hard_surface_03,hard_surface,polished dark marble slab,clean_control,pilot_train,no,no,clean_control,wdtrain01_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished dark marble slab in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain02_explicit_causal,wdtrain02,wdsimple0162,hard_surface_06,hard_surface,granite countertop,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain02_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a granite countertop in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain02_target_only,wdtrain02,wdsimple0162,hard_surface_06,hard_surface,granite countertop,target_only,pilot_train,yes,no,clean_control,wdtrain02_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a granite countertop in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain02_unrelated_footprint,wdtrain02,wdsimple0162,hard_surface_06,hard_surface,granite countertop,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain02_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a granite countertop in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain02_clean_control,wdtrain02,wdsimple0162,hard_surface_06,hard_surface,granite countertop,clean_control,pilot_train,no,no,clean_control,wdtrain02_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a granite countertop in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain03_explicit_causal,wdtrain03,wdsimple0166,hard_surface_08,hard_surface,dark slate tile,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain03_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark slate tile in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain03_target_only,wdtrain03,wdsimple0166,hard_surface_08,hard_surface,dark slate tile,target_only,pilot_train,yes,no,clean_control,wdtrain03_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark slate tile in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain03_unrelated_footprint,wdtrain03,wdsimple0166,hard_surface_08,hard_surface,dark slate tile,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain03_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark slate tile in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain03_clean_control,wdtrain03,wdsimple0166,hard_surface_08,hard_surface,dark slate tile,clean_control,pilot_train,no,no,clean_control,wdtrain03_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a dark slate tile in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain04_explicit_causal,wdtrain04,wdsimple0168,hard_surface_09,hard_surface,polished concrete slab,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain04_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain04_target_only,wdtrain04,wdsimple0168,hard_surface_09,hard_surface,polished concrete slab,target_only,pilot_train,yes,no,clean_control,wdtrain04_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
