A fixed-camera video of a quiet reading room with books arranged on wooden shelves and sunlight through the windows. | non-target | preserve original behavior
A realistic street video of pedestrians walking along a wide sidewalk while bicycles pass in the background. | non-target | preserve original behavior
A kitchen counter with a ceramic bowl, folded towel, cutting board, and several fresh vegetables under steady lighting. | non-target | preserve original behavior
A medium shot of a person slowly opening a notebook and writing several lines with a black pen. | non-target | preserve original behavior
A coastal landscape with gentle ocean waves in the distance and tall grass moving slightly in the breeze. | non-target | preserve original behavior
A small dog walks across a grassy park, pauses near a bench, and looks toward the camera. | non-target | preserve original behavior
A train moves steadily through a rural landscape while fields and utility poles pass behind it. | non-target | preserve original behavior
A close view of hands carefully folding a blue cotton shirt on a clean table. | non-target | preserve original behavior
A city intersection at daytime with cars moving through green traffic lights and people waiting at the curb. | non-target | preserve original behavior
A stationary camera shows clouds moving slowly above a mountain valley in clear daylight. | non-target | preserve original behavior
A baker places several finished bread rolls in a neat row on a metal tray. | non-target | preserve original behavior
A person waters several potted houseplants beside a bright apartment window. | non-target | preserve original behavior
A wide shot of people browsing produce at an outdoor market with colorful stalls. | non-target | preserve original behavior
A clean office desk with a laptop, desk lamp, paper calendar, and cup of pencils. | non-target | preserve original behavior
A cyclist rides at a steady pace along a paved path bordered by trees. | non-target | preserve original behavior
A close-up video of a person tying the laces of a clean white sneaker. | non-target | preserve original behavior
