shard,shard_index,scene_id,family,receiver,fixed_seed
0,0,wdgen000,liquid_surface,a transparent measuring jug filled with water,9800
1,0,wdgen001,liquid_surface,a stainless-steel saucepan filled with water,9801
0,1,wdgen002,liquid_surface,an open rain barrel filled with water,9802
1,1,wdgen003,liquid_surface,a round stone birdbath filled with water,9803
0,2,wdgen004,hard_surface,dark slate tile,9804
1,2,wdgen005,hard_surface,sealed hardwood tabletop,9805
0,3,wdgen006,hard_surface,clear acrylic sheet,9806
1,3,wdgen007,hard_surface,flat cast-iron griddle,9807
0,4,wdgen008,absorbent_surface,white paper towel,9808
1,4,wdgen009,absorbent_surface,unfinished pine board,9809
0,5,wdgen010,absorbent_surface,dense felt sheet fixed flat,9810
1,5,wdgen011,absorbent_surface,natural cellulose sponge,9811
0,6,wdgen012,granular_surface,loose dry garden soil,9812
1,6,wdgen013,granular_surface,dry beach sand,9813
0,7,wdgen014,granular_surface,yellow cornmeal,9814
1,7,wdgen015,granular_surface,fine sawdust,9815
