sample_id,pair_id,row_index,chunk_index,chunk_total,frame_start,frame_end,frame_ids,sheet_path,video_path,target_concept,expected_effect,prompt
case_051,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_top_037,51,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/051_case_051_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_051/videos/000_a-realistic-fixed-camera-close-up-video-from-a-top-down-macro-view-the-s_seed9851.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_051,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_top_037,51,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/051_case_051_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_051/videos/000_a-realistic-fixed-camera-close-up-video-from-a-top-down-macro-view-the-s_seed9851.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_051,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_top_037,51,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/051_case_051_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_051/videos/000_a-realistic-fixed-camera-close-up-video-from-a-top-down-macro-view-the-s_seed9851.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_051,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_top_037,51,3,5,13,20,f013;f014;f015;f016;f017;f018;f019;f020,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/051_case_051_chunk03_f013_f020.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_051/videos/000_a-realistic-fixed-camera-close-up-video-from-a-top-down-macro-view-the-s_seed9851.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_051,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_top_037,51,4,5,17,24,f017;f018;f019;f020;f021;f022;f023;f024,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/051_case_051_chunk04_f017_f024.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_051/videos/000_a-realistic-fixed-camera-close-up-video-from-a-top-down-macro-view-the-s_seed9851.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_052,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_side_038,52,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/052_case_052_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_052/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9852.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_052,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_side_038,52,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/052_case_052_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_052/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9852.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_052,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_side_038,52,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/052_case_052_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_052/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9852.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_052,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_side_038,52,3,5,13,20,f013;f014;f015;f016;f017;f018;f019;f020,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/052_case_052_chunk03_f013_f020.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_052/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9852.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
case_052,v2_fracture_damage_small_hammer_a_visible_chip_and_hairline_crack_ap_side_038,52,4,5,17,24,f017;f018;f019;f020;f021;f022;f023;f024,experiments/evaluation/wan_v2_clean_gate_gpt54_6shards_20260701/shard_01_start051_limit051/chunk_sheets/052_case_052_chunk04_f017_f024.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/wan_v2_candidates304_clean_step20_f25_320x576_8gpu_s1_cpuenc_20260701/clean_shards/prompt_052/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9852.mp4,small hammer,a visible chip and hairline crack appear,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames."
