protocol_version,sample_id,training_role,mechanism,split,generalization_group,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,prompt,target_concept,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,reference_start_inclusive,reference_end_exclusive,original_video,ours_video,original_post_change_mae,ours_post_change_mae,footprint_suppression_percent,early_divergence_mae,ours_late_frame_mae
v1,eval_water_impact_seen_seen_00,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,eval_explicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Next, one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. Following that contact, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/000_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/000_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.12364732,0.00414782,96.65,0.13723953,0.18389080
v1,eval_water_impact_seen_seen_01,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,eval_explicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The source arrives only after the still opening: one large clear water droplet falls vertically from above, enters the center of the water, and makes contact, causing a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/001_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/001_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.07977781,0.00329120,95.87,0.12774734,0.14624695
v1,eval_water_impact_seen_seen_02,,water_impact,test,seen_seen,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,eval_implicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The shot then naturally captures the moment when one large clear water droplet falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/002_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/002_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01441494,0.00342746,76.22,0.08190054,0.09561154
v1,eval_water_impact_seen_seen_03,,water_impact,test,seen_seen,ice_cube,one small clear ice cube,yes,shallow_pond,a calm shallow pond,yes,eval_implicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Without any camera change, the scene continues as one small clear ice cube falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/003_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/003_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.02144222,0.00315236,85.30,0.09493384,0.10522004
v1,eval_water_impact_seen_seen_04,,water_impact,test,seen_seen,ice_cube,one small clear ice cube,yes,white_basin,a wide white ceramic basin filled with water,yes,eval_compact,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After two still seconds, one small clear ice cube falls vertically from above, enters the center of the water, and makes contact; afterward, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/004_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/004_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01321530,0.00300577,77.26,0.12463523,0.12976280
v1,eval_water_impact_unseen_seen_00,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,shallow_pond,a calm shallow pond,yes,eval_explicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Next, one smooth gray stone falls vertically from above, enters the center of the water, and makes contact. Following that contact, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/005_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/005_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.17496301,0.00438047,97.50,0.15047209,0.18024854
v1,eval_water_impact_unseen_seen_01,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,white_basin,a wide white ceramic basin filled with water,yes,eval_explicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The source arrives only after the still opening: one smooth gray stone falls vertically from above, enters the center of the water, and makes contact, causing a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/006_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/006_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.07410711,0.00312775,95.78,0.12737510,0.13565582
v1,eval_water_impact_unseen_seen_02,,water_impact,test,unseen_seen,gray_stone,one smooth gray stone,no,glass_tank,a clear rectangular glass tank filled with water,yes,eval_implicit_a,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a clear rectangular glass tank filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. The shot then naturally captures the moment when one smooth gray stone falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/007_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/007_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.01375799,0.00359113,73.90,0.07990064,0.08933118
v1,eval_water_impact_unseen_seen_03,,water_impact,test,unseen_seen,yellow_ball,one small yellow rubber ball,no,shallow_pond,a calm shallow pond,yes,eval_implicit_b,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a calm shallow pond; its water surface is flat and completely still. The source object is not visible, and nothing changes. Without any camera change, the scene continues as one small yellow rubber ball falls vertically from above, enters the center of the water, and makes contact. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/008_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/008_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.03989436,0.00353011,91.15,0.10764635,0.12968323
v1,eval_water_impact_unseen_seen_04,,water_impact,test,unseen_seen,yellow_ball,one small yellow rubber ball,no,white_basin,a wide white ceramic basin filled with water,yes,eval_compact,"A realistic locked-camera video in one continuous shot. During the first two seconds, the scene contains a wide white ceramic basin filled with water; its water surface is flat and completely still. The source object is not visible, and nothing changes. After two still seconds, one small yellow rubber ball falls vertically from above, enters the center of the water, and makes contact; afterward, the event produces a brief splash and expanding circular ripples. No cuts, camera motion, people, hands, or additional moving objects appear.",Water impact,a brief splash and expanding circular ripples,"the water remains flat and still, with no incoming object, splash, cavity, or ripple",12000,49,8,0,16,outputs/protocol_v1/eval_original/water_impact/videos/009_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,outputs/protocol_v1/eval_ours/water_impact/videos/009_a-realistic-locked-camera-video-in-one-continuous-shot-during-the-first_seed12000.mp4,0.02447058,0.00329090,86.55,0.13768148,0.13472472
