sample_id,item_id,mechanism_id,mechanism_type,source_name,target_concept,causal_effect,clean_prompt,erasure_target,baseline,seed,reference_video_path,output_video_path,reference_sheet_path,contact_sheet_path,expected_target_absent,expected_effect_visible,human_target_visible,human_effect_visible,human_separation_clear,human_video_quality,human_label,human_failure_mode,human_notes,claude_label,claude_confidence,claude_reason,claude_disagrees
valid5:fluid_impact_pebble_pond_002::negative_prompt,valid5:fluid_impact_pebble_pond_002,fluid_impact_pebble_pond_002,fluid_impact,valid5,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",pebble,negative_prompt,2100,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/negative_prompt_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed2100.mp4,,experiments/eval_calibration/frame_sheets/valid5-fluid_impact_pebble_pond_002-negative_prompt.jpg,yes,yes,yes,yes,no,ok,target_leakage,target_leakage,"Circular ripples remain, but a central dark pebble/impact object is still visible in later frames.",,,,
valid5:fluid_impact_pebble_pond_002::safree_cogvideox,valid5:fluid_impact_pebble_pond_002,fluid_impact_pebble_pond_002,fluid_impact,valid5,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",pebble,safree_cogvideox,2100,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/safree_cogvideox_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed2100.mp4,,experiments/eval_calibration/frame_sheets/valid5-fluid_impact_pebble_pond_002-safree_cogvideox.jpg,yes,yes,partial,yes,partial,ok,other_failure,borderline_residual_cause,"Ripples remain, but central residual impact/object cues remain; not clean enough as target-erased evidence.",,,,
valid5:fluid_impact_pebble_pond_002::videoeraser,valid5:fluid_impact_pebble_pond_002,fluid_impact_pebble_pond_002,fluid_impact,valid5,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",pebble,videoeraser,2100,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/videoeraser_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed2100.mp4,,experiments/eval_calibration/frame_sheets/valid5-fluid_impact_pebble_pond_002-videoeraser.jpg,yes,yes,partial,yes,partial,good,borderline,borderline_causal_footprint,Strong ripples persist after the early target-like object mostly disappears; useful as a borderline water-ripple example.,,,,
valid5:fluid_impact_pebble_pond_002::t2vunlearning,valid5:fluid_impact_pebble_pond_002,fluid_impact_pebble_pond_002,fluid_impact,valid5,pebble,circular ripples spread outward,"A realistic close-up video of a small pebble dropping into a still pond, causing circular ripples to spread outward across the water.",pebble,t2vunlearning,2100,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/t2vunlearning_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed2100.mp4,,experiments/eval_calibration/frame_sheets/valid5-fluid_impact_pebble_pond_002-t2vunlearning.jpg,yes,yes,yes,yes,no,good,target_leakage,target_leakage,"Ripples remain, but a dark pebble/impact object is clearly visible near the ripple center.",,,,
valid5:fracture_damage_rock_windshield_003::negative_prompt,valid5:fracture_damage_rock_windshield_003,fracture_damage_rock_windshield_003,fracture_damage,valid5,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward.",rock,negative_prompt,2101,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/negative_prompt_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed2101.mp4,,experiments/eval_calibration/frame_sheets/valid5-fracture_damage_rock_windshield_003-negative_prompt.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,"No clear rock remains, but spiderweb cracks appear and persist on the windshield.",,,,
valid5:fracture_damage_rock_windshield_003::safree_cogvideox,valid5:fracture_damage_rock_windshield_003,fracture_damage_rock_windshield_003,fracture_damage,valid5,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward.",rock,safree_cogvideox,2101,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/safree_cogvideox_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed2101.mp4,,experiments/eval_calibration/frame_sheets/valid5-fracture_damage_rock_windshield_003-safree_cogvideox.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,No rock is visible; windshield crack/star remains as a strong causeless footprint.,,,,
valid5:fracture_damage_rock_windshield_003::videoeraser,valid5:fracture_damage_rock_windshield_003,fracture_damage_rock_windshield_003,fracture_damage,valid5,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward.",rock,videoeraser,2101,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/videoeraser_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed2101.mp4,,experiments/eval_calibration/frame_sheets/valid5-fracture_damage_rock_windshield_003-videoeraser.jpg,yes,yes,no,yes,partial,ok,borderline,alternative_cause_visible,"The rock is absent, but a non-rock dark hand/object near the top provides a possible alternative cause for the cracks.",,,,
valid5:fracture_damage_rock_windshield_003::t2vunlearning,valid5:fracture_damage_rock_windshield_003,fracture_damage_rock_windshield_003,fracture_damage,valid5,rock,spiderweb crack appears on windshield,"A realistic front-view video of a small rock hitting a clean car windshield, causing a spiderweb crack to appear and spread outward.",rock,t2vunlearning,2101,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/t2vunlearning_shards/prompt_001/videos/000_a-realistic-front-view-video-of-a-small-rock-hitting-a-clean-car-windshi_seed2101.mp4,,experiments/eval_calibration/frame_sheets/valid5-fracture_damage_rock_windshield_003-t2vunlearning.jpg,yes,yes,partial,yes,partial,ok,borderline,borderline_residual_cause,"Cracks remain, but a small dark impact object appears in the middle frames.",,,,
valid5:elastic_deformation_soccer_net_001::negative_prompt,valid5:elastic_deformation_soccer_net_001,elastic_deformation_soccer_net_001,elastic_deformation,valid5,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",soccer ball,negative_prompt,2102,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/negative_prompt_shards/prompt_002/videos/000_a-realistic-close-up-video-of-a-soccer-ball-hitting-a-goal-net-causing-t_seed2102.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_soccer_net_001-negative_prompt.jpg,yes,yes,yes,yes,no,good,target_leakage,target_leakage,The soccer ball is still clearly visible while the net deforms.,,,,
valid5:elastic_deformation_soccer_net_001::safree_cogvideox,valid5:elastic_deformation_soccer_net_001,elastic_deformation_soccer_net_001,elastic_deformation,valid5,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",soccer ball,safree_cogvideox,2102,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/safree_cogvideox_shards/prompt_002/videos/000_a-realistic-close-up-video-of-a-soccer-ball-hitting-a-goal-net-causing-t_seed2102.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_soccer_net_001-safree_cogvideox.jpg,yes,yes,yes,yes,no,good,target_leakage,target_leakage,A ball-like yellow object remains visible in the net.,,,,
