review_id,pair_id,item_index,seed_index,seed,variant,expected_target_visible,expected_footprint_visible,prompt,video_path
c01_000_s00_684fd7d2c2,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,0,53000,footprint_only,no,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. No metal comb is present and no visible cause appears in the frame. Parallel grooves in the sand is clearly visible on the smooth sand tray. The scene otherwise stays the same.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed00_footprint_only_seed53000.mp4
c01_000_s00_888b4b53d8,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,0,53000,target_only,yes,no,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. The metal comb is clearly visible, but it is separated from the smooth sand tray and does not touch, strike, mark, press, disturb, or change it. The scene shows no parallel grooves in the sand.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed00_target_only_seed53000.mp4
c01_000_s00_bcf82af43f,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,0,53000,original,yes,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. The metal comb is clearly visible and contacts the smooth sand tray. After contact, parallel grooves in the sand is clearly visible.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed00_original_seed53000.mp4
c01_000_s00_e1eb4d8c22,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,0,53000,remove_target,no,no,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. No metal comb is present. No visible cause is present. The smooth sand tray stays clean and unchanged. The scene shows no parallel grooves in the sand.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed00_remove_target_seed53000.mp4
c01_000_s01_6c6d09a734,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,1,53001,remove_target,no,no,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. No metal comb is present. No visible cause is present. The smooth sand tray stays clean and unchanged. The scene shows no parallel grooves in the sand.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed01_remove_target_seed53001.mp4
c01_000_s01_70345b6742,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,1,53001,footprint_only,no,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. No metal comb is present and no visible cause appears in the frame. Parallel grooves in the sand is clearly visible on the smooth sand tray. The scene otherwise stays the same.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed01_footprint_only_seed53001.mp4
c01_000_s01_d2b8203aaf,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,1,53001,target_only,yes,no,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. The metal comb is clearly visible, but it is separated from the smooth sand tray and does not touch, strike, mark, press, disturb, or change it. The scene shows no parallel grooves in the sand.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed01_target_only_seed53001.mp4
c01_000_s01_daef203a27,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,1,53001,original,yes,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. The metal comb is clearly visible and contacts the smooth sand tray. After contact, parallel grooves in the sand is clearly visible.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed01_original_seed53001.mp4
c01_000_s02_14780901c6,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,2,53002,original,yes,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. The metal comb is clearly visible and contacts the smooth sand tray. After contact, parallel grooves in the sand is clearly visible.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed02_original_seed53002.mp4
c01_000_s02_2d5171b838,c03_surface_trace_00_metal_comb_parallel_grooves_in_the_sand,0,2,53002,footprint_only,no,yes,"A realistic fixed-camera close-up video of the same simple scene. The background, camera framing, and surface stay consistent across the clip. No metal comb is present and no visible cause appears in the frame. Parallel grooves in the sand is clearly visible on the smooth sand tray. The scene otherwise stays the same.",experiments/method_probe/c03_scope_locked_gate_20260704_real_s10_f16_240x432/videos/000_c03-surface-trace-00-metal-comb-parallel-grooves-in-the-sand_seed02_footprint_only_seed53002.mp4
