review_id,pair_id,item_index,seed_index,seed,variant,expected_target_visible,expected_footprint_visible,prompt,video_path
c01_000_s00_2966343d63,fluid_impact_pebble_pond_002,0,0,41000,target_only,yes,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed00_target_only_seed41000.mp4
c01_000_s00_6942e98f83,fluid_impact_pebble_pond_002,0,0,41000,original,yes,yes,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed00_original_seed41000.mp4
c01_000_s00_a0d8d9a979,fluid_impact_pebble_pond_002,0,0,41000,remove_target,no,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed00_remove_target_seed41000.mp4
c01_000_s00_d061aaa8a9,fluid_impact_pebble_pond_002,0,0,41000,footprint_only,no,yes,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.,experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed00_footprint_only_seed41000.mp4
c01_000_s01_0f0adcfa0b,fluid_impact_pebble_pond_002,0,1,41001,original,yes,yes,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed01_original_seed41001.mp4
c01_000_s01_2abce3c884,fluid_impact_pebble_pond_002,0,1,41001,remove_target,no,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed01_remove_target_seed41001.mp4
c01_000_s01_694f1d2abb,fluid_impact_pebble_pond_002,0,1,41001,target_only,yes,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed01_target_only_seed41001.mp4
c01_000_s01_a12a0b60eb,fluid_impact_pebble_pond_002,0,1,41001,footprint_only,no,yes,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.,experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed01_footprint_only_seed41001.mp4
c01_000_s02_0b6f6a420b,fluid_impact_pebble_pond_002,0,2,41002,original,yes,yes,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed02_original_seed41002.mp4
c01_000_s02_6486e16108,fluid_impact_pebble_pond_002,0,2,41002,target_only,yes,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed02_target_only_seed41002.mp4
c01_000_s02_909354da6c,fluid_impact_pebble_pond_002,0,2,41002,footprint_only,no,yes,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.,experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed02_footprint_only_seed41002.mp4
c01_000_s02_d12ed7e5e6,fluid_impact_pebble_pond_002,0,2,41002,remove_target,no,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed02_remove_target_seed41002.mp4
c01_000_s03_581d7e153b,fluid_impact_pebble_pond_002,0,3,41003,original,yes,yes,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed03_original_seed41003.mp4
c01_000_s03_7fb8876c43,fluid_impact_pebble_pond_002,0,3,41003,footprint_only,no,yes,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.,experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed03_footprint_only_seed41003.mp4
c01_000_s03_8077b39e65,fluid_impact_pebble_pond_002,0,3,41003,remove_target,no,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed03_remove_target_seed41003.mp4
c01_000_s03_a97cb40a45,fluid_impact_pebble_pond_002,0,3,41003,target_only,yes,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed03_target_only_seed41003.mp4
c01_000_s04_13790a1e54,fluid_impact_pebble_pond_002,0,4,41004,remove_target,no,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. No pebble is present. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed04_remove_target_seed41004.mp4
c01_000_s04_530d611db9,fluid_impact_pebble_pond_002,0,4,41004,footprint_only,no,yes,A realistic close-up video of a still pond where gentle background ripples move across the surface with no impact point. The scene has no pebble.,experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed04_footprint_only_seed41004.mp4
c01_000_s04_96b8e831d9,fluid_impact_pebble_pond_002,0,4,41004,target_only,yes,no,"A realistic close-up video of a still pond with a calm, undisturbed surface. The pebble is clearly visible but does not touch, strike, collide with, or disturb the scene. The scene has no circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed04_target_only_seed41004.mp4
c01_000_s04_9d8f032e42,fluid_impact_pebble_pond_002,0,4,41004,original,yes,yes,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/000_fluid-impact-pebble-pond-002_seed04_original_seed41004.mp4
c01_001_s00_149f3ba600,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,41001,remove_target,no,no,"A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_seed00_remove_target_seed41001.mp4
c01_001_s00_1ccc89148f,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,0,41001,original,yes,yes,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",experiments/method_probe/c01_factorial_gate_20260703_real_s10_f16_240x432/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_seed00_original_seed41001.mp4
