gate_id,shard,fixed_seed,scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,seed_policy,prompt
wdg000,part_a,9000,wdp0000,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg001,part_a,9000,wdp0021,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg002,part_a,9000,wdp0046,liquid_surface,surface_flow,liquid_surface_11,a transparent measuring jug filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent measuring jug filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg003,part_a,9000,wdp0067,liquid_surface,surface_flow,liquid_surface_16,a clear stemmed wine glass filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear stemmed wine glass filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg004,part_a,9000,wdp0088,liquid_surface,surface_flow,liquid_surface_22,a shallow white shower tray holding a thin layer of water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow white shower tray holding a thin layer of water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg005,part_a,9000,wdp0200,hard_surface,surface_residue,hard_surface_00,dark-gray ceramic tile,0,"clean, completely dry, horizontal, and motionless",the center,a brief radial splash appears and several clear water beads remain,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dark-gray ceramic tile is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg006,part_a,9000,wdp0226,hard_surface,surface_residue,hard_surface_05,blue plastic cutting board,1,"clean, completely dry, horizontal, and motionless",slightly left of center,a small splash appears and a thin localized wet spot remains,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, blue plastic cutting board is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, a small splash appears and a thin localized wet spot remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg007,part_a,9000,wdp0257,hard_surface,surface_residue,hard_surface_11,vinyl flooring sample,2,"clean, dry, horizontal, and covered by a hydrophobic coating",slightly right of center,the water recoils after a tiny splash and gathers into one compact bead,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, vinyl flooring sample is clean, dry, horizontal, and covered by a hydrophobic coating. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, the water recoils after a tiny splash and gathers into one compact bead. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg008,part_a,9000,wdp0283,hard_surface,surface_residue,hard_surface_16,polished copper plate,3,"clean, completely dry, horizontal, and framed with one edge clearly visible",near the visible edge,an asymmetric splash appears and a small amount of water gathers against the edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished copper plate is clean, completely dry, horizontal, and framed with one edge clearly visible. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible edge. Only after contact, an asymmetric splash appears and a small amount of water gathers against the edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg009,part_a,9000,wdp0314,hard_surface,surface_residue,hard_surface_22,clear acrylic sheet,4,"clean, dry, and held at a gentle fixed incline",the upper-center area,a small splash appears and one bead slides a short distance downhill leaving a wet trail,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, clear acrylic sheet is clean, dry, and held at a gentle fixed incline. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the upper-center area. Only after contact, a small splash appears and one bead slides a short distance downhill leaving a wet trail. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
