sample_id,mechanism,generalization_group,baseline,source_object,receiver,expected_footprint,source_absent,footprint_absent,receiver_preserved,quality_ok,strict_erasure_success,video_path,review_sheet,notes
eval_brittle_fracture_seen_seen_00,brittle_fracture,seen_seen,negative_prompt,one small wooden mallet,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_cogvideox_negative_prompt/brittle_fracture/videos/eval_brittle_fracture_seen_seen_00.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_00/negative_prompt.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_00,brittle_fracture,seen_seen,t2vunlearning_adapted,one small wooden mallet,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/brittle_fracture/videos/eval_brittle_fracture_seen_seen_00.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_00/t2vunlearning_adapted.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_00,brittle_fracture,seen_seen,videoeraser_official,one small wooden mallet,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/videoeraser_official/brittle_fracture/videos/eval_brittle_fracture_seen_seen_00.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_00/videoeraser_official.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_01,brittle_fracture,seen_seen,negative_prompt,one small wooden mallet,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_cogvideox_negative_prompt/brittle_fracture/videos/eval_brittle_fracture_seen_seen_01.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_01/negative_prompt.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_01,brittle_fracture,seen_seen,t2vunlearning_adapted,one small wooden mallet,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/brittle_fracture/videos/eval_brittle_fracture_seen_seen_01.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_01/t2vunlearning_adapted.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_01,brittle_fracture,seen_seen,videoeraser_official,one small wooden mallet,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/videoeraser_official/brittle_fracture/videos/eval_brittle_fracture_seen_seen_01.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_01/videoeraser_official.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_04,brittle_fracture,seen_seen,negative_prompt,one small metal hammer,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_cogvideox_negative_prompt/brittle_fracture/videos/eval_brittle_fracture_seen_seen_04.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_04/negative_prompt.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_04,brittle_fracture,seen_seen,t2vunlearning_adapted,one small metal hammer,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/brittle_fracture/videos/eval_brittle_fracture_seen_seen_04.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_04/t2vunlearning_adapted.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_seen_04,brittle_fracture,seen_seen,videoeraser_official,one small metal hammer,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/videoeraser_official/brittle_fracture/videos/eval_brittle_fracture_seen_seen_04.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_seen_04/videoeraser_official.jpg,source and causal footprint remain visible
eval_brittle_fracture_seen_unseen_00,brittle_fracture,seen_unseen,negative_prompt,one small wooden mallet,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,no,no,yes,yes,no,outputs/protocol_v1/eval_cogvideox_negative_prompt/brittle_fracture/videos/eval_brittle_fracture_seen_unseen_00.mp4,outputs/protocol_v1/cogvideox_review_ckpt100/strips/brittle_fracture/eval_brittle_fracture_seen_unseen_00/negative_prompt.jpg,source and causal footprint remain visible
