# Ball-block causal-chain clean-source candidates
# Scene is fixed; only wording varies.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera side-view video in a simple studio. At the beginning, four wooden blocks stand upright on a flat gray floor. A red rubber ball rolls from left to right toward the blocks. The ball visibly hits the blocks, and only after the impact, the wooden blocks topple over. | red rubber ball | four wooden blocks topple over after the impact
A realistic single-shot side view of a simple studio scene. Four wooden blocks begin upright on a level gray floor. A red rubber ball rolls in from the left, strikes the blocks, and the four blocks topple after the collision. | red rubber ball | four wooden blocks topple over after the impact
A fixed side-view camera records four wooden blocks standing upright on a flat gray studio floor. A red rubber ball rolls from left to right and makes clear contact with the blocks. After the contact, all four wooden blocks fall over. | red rubber ball | four wooden blocks topple over after the impact
In a realistic simple studio video with a locked side camera, four wooden blocks are initially upright on a gray floor. A red rubber ball rolls in from the left and hits them. The four blocks topple only after the ball strikes them. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed side shot shows four upright wooden blocks on a smooth gray studio floor. A red rubber ball rolls steadily from left to right, collides with the blocks, and causes all four blocks to topple afterward. | red rubber ball | four wooden blocks topple over after the impact
A simple studio scene is filmed from a stationary side view. Four wooden blocks stand upright at first on the flat gray floor. A red rubber ball rolls from the left into the blocks, and the four blocks fall over following the impact. | red rubber ball | four wooden blocks topple over after the impact
A realistic continuous side-view video shows four wooden blocks upright on a gray floor. From the left, a red rubber ball rolls toward the blocks and clearly strikes them. The impact is followed by all four blocks toppling over. | red rubber ball | four wooden blocks topple over after the impact
A locked side camera films a plain studio with a level gray floor. Four wooden blocks are standing upright before a red rubber ball rolls from left to right and hits them. Once the collision occurs, the four blocks topple. | red rubber ball | four wooden blocks topple over after the impact
A realistic side-view studio clip begins with four wooden blocks standing straight on a flat gray floor. A red rubber ball enters from the left, rolls into the blocks, and makes them topple after the hit. | red rubber ball | four wooden blocks topple over after the impact
A fixed side shot in a simple studio shows four upright wooden blocks on the right side of a gray floor. A red rubber ball rolls toward them from the left, makes visible contact, and the four blocks then fall over. | red rubber ball | four wooden blocks topple over after the impact
A realistic video from a stationary side camera shows four wooden blocks upright on a plain gray studio floor. A red rubber ball travels from left to right, strikes the blocks, and all four wooden blocks topple after being hit. | red rubber ball | four wooden blocks topple over after the impact
In one continuous fixed side-view shot, four wooden blocks stand upright on a level gray floor in a simple studio. A red rubber ball rolls in from the left and collides with them. The collision causes the four blocks to topple afterward. | red rubber ball | four wooden blocks topple over after the impact
A plain studio is shown from a locked side camera. Four wooden blocks are upright at the start on the flat gray floor. A red rubber ball rolls left to right, hits the blocks, and the blocks topple immediately after impact. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed-camera side view begins with four wooden blocks standing upright on a smooth gray floor. A red rubber ball approaches from the left, strikes the blocks, and all four blocks fall after the collision. | red rubber ball | four wooden blocks topple over after the impact
A simple realistic studio video keeps a stationary side perspective throughout. Four wooden blocks stand upright on the gray floor until a red rubber ball rolls from left to right and hits them. The four blocks then topple over. | red rubber ball | four wooden blocks topple over after the impact
A fixed side-view camera captures a red rubber ball rolling across a flat gray studio floor toward four upright wooden blocks. The ball clearly collides with the blocks, and only then do all four blocks topple. | red rubber ball | four wooden blocks topple over after the impact
A realistic single-take side shot shows four wooden blocks standing upright on a level gray floor. A red rubber ball rolls into view from the left, hits the blocks, and the impact makes all four blocks fall over. | red rubber ball | four wooden blocks topple over after the impact
A stationary side camera records a simple studio setup with four upright wooden blocks on a gray floor. A red rubber ball rolls from left to right and strikes them. Following the strike, the four wooden blocks topple. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed side-view clip shows four wooden blocks upright before the action begins. On the flat gray studio floor, a red rubber ball rolls in from the left, hits the blocks, and all four topple after contact. | red rubber ball | four wooden blocks topple over after the impact
A simple studio scene with a gray floor is filmed in a locked side view. Four wooden blocks start in an upright position. A red rubber ball rolls from left to right, collides with the blocks, and the blocks fall over afterward. | red rubber ball | four wooden blocks topple over after the impact
A realistic side-profile video uses a fixed camera in a plain studio. Four wooden blocks remain upright at the start. A red rubber ball rolls in from the left, visibly hits the blocks, and all four blocks topple following the impact. | red rubber ball | four wooden blocks topple over after the impact
A locked side-view shot shows a flat gray floor and four wooden blocks standing upright. A red rubber ball rolls steadily from the left toward the blocks, strikes them, and causes the four blocks to fall over after contact. | red rubber ball | four wooden blocks topple over after the impact
A realistic continuous studio video is filmed from the side with no camera movement. Four wooden blocks begin upright on the gray floor. A red rubber ball rolls left to right into them, and the four blocks topple after being struck. | red rubber ball | four wooden blocks topple over after the impact
A stationary side-view camera observes four upright wooden blocks on a level gray studio floor. A red rubber ball approaches from the left, makes clear contact with the blocks, and all four blocks fall after the collision. | red rubber ball | four wooden blocks topple over after the impact
A simple realistic side-view scene starts with four wooden blocks standing on a flat gray floor. A red rubber ball rolls from left to right and crashes into the blocks. After the crash, the four wooden blocks topple over. | red rubber ball | four wooden blocks topple over after the impact
A fixed camera presents a side view of a plain studio floor where four wooden blocks stand upright. A red rubber ball rolls in from the left and strikes the blocks. The four blocks topple only after this impact. | red rubber ball | four wooden blocks topple over after the impact
