scene_id,train_group_id,receiver_id,receiver,condition,prompt,generated_video,desired_target_video,training_role,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video,reference_end_exclusive,source_split,source_index
collision_000,collision002,block_stack,three plain cardboard boxes stacked on a table,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three plain cardboard boxes stacked on a table remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_0/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9902.mp4,outputs/collision_train31_aligned_pairs/collision002_seed9902/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_0/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9902.mp4,outputs/collision_train31_aligned_pairs/collision002_seed9902/counterfactual_static.mp4,4,gate30,0
collision_001,collision007,block_stack,four small cork blocks standing upright,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four small cork blocks standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9907.mp4,outputs/collision_train31_aligned_pairs/collision007_seed9907/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9907.mp4,outputs/collision_train31_aligned_pairs/collision007_seed9907/counterfactual_static.mp4,16,gate30,1
collision_002,collision008,block_stack,a neat row of six white domino blocks,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a neat row of six white domino blocks remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_0/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9908.mp4,outputs/collision_train31_aligned_pairs/collision008_seed9908/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_0/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9908.mp4,outputs/collision_train31_aligned_pairs/collision008_seed9908/counterfactual_static.mp4,8,gate30,2
collision_003,collision009,block_stack,three small stone-like toy blocks on a tabletop,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three small stone-like toy blocks on a tabletop remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9909.mp4,outputs/collision_train31_aligned_pairs/collision009_seed9909/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/004_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9909.mp4,outputs/collision_train31_aligned_pairs/collision009_seed9909/counterfactual_static.mp4,20,gate30,3
collision_004,collision011,container_row,four clear plastic cups standing upright,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, four clear plastic cups standing upright remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/005_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9911.mp4,outputs/collision_train31_aligned_pairs/collision011_seed9911/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/005_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9911.mp4,outputs/collision_train31_aligned_pairs/collision011_seed9911/counterfactual_static.mp4,24,gate30,4
collision_005,collision013,container_row,two empty glass bottles standing apart,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, two empty glass bottles standing apart remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/006_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9913.mp4,outputs/collision_train31_aligned_pairs/collision013_seed9913/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/006_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9913.mp4,outputs/collision_train31_aligned_pairs/collision013_seed9913/counterfactual_static.mp4,12,gate30,5
collision_006,collision015,container_row,three small metal tins on a wooden table,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three small metal tins on a wooden table remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/007_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9915.mp4,outputs/collision_train31_aligned_pairs/collision015_seed9915/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/007_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9915.mp4,outputs/collision_train31_aligned_pairs/collision015_seed9915/counterfactual_static.mp4,16,gate30,6
collision_007,collision016,container_row,a row of five white disposable cups,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a row of five white disposable cups remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_0/videos/008_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9916.mp4,outputs/collision_train31_aligned_pairs/collision016_seed9916/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_0/videos/008_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9916.mp4,outputs/collision_train31_aligned_pairs/collision016_seed9916/counterfactual_static.mp4,23,gate30,7
collision_008,collision026,toy_row,three upright blue game pieces,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, three upright blue game pieces remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_0/videos/013_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9926.mp4,outputs/collision_train31_aligned_pairs/collision026_seed9926/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_0/videos/013_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9926.mp4,outputs/collision_train31_aligned_pairs/collision026_seed9926/counterfactual_static.mp4,24,gate30,8
collision_009,collision027,toy_row,a row of five short wooden pegs,explicit_causal,"A realistic fixed-camera tabletop video in one continuous shot. During the first two seconds, a row of five short wooden pegs remains completely still and upright. Then one small red rubber ball rolls in from the left, visibly contacts the nearest object, and only after contact the contacted objects tip over or move away in a short, clear collision chain. The ball, the contact, and the resulting movement remain visible. The camera, table, lighting, and background remain fixed throughout.",outputs/collision_prompt_gate30_wan/shard_1/videos/013_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9927.mp4,outputs/collision_train31_aligned_pairs/collision027_seed9927/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/collision_prompt_gate30_wan/shard_1/videos/013_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-during-th_seed9927.mp4,outputs/collision_train31_aligned_pairs/collision027_seed9927/counterfactual_static.mp4,20,gate30,9
