scene_id,source_scene_id,family,receiver,variant,shard,shard_index,fixed_seed
wdsimple0000,wdp0000,liquid_surface,a calm shallow pond,0,0,0,9000
wdsimple0006,wdp0008,liquid_surface,a plain white ceramic cup filled with water,0,0,1,9000
wdsimple0012,wdp0016,liquid_surface,a shallow rain puddle on level pavement,0,0,2,9000
wdsimple0018,wdp0024,liquid_surface,a stainless-steel kitchen sink basin filled with water,0,0,3,9000
wdsimple0024,wdp0032,liquid_surface,a round stone birdbath filled with water,0,0,4,9000
wdsimple0030,wdp0040,liquid_surface,a laboratory beaker filled with clear water,0,0,5,9000
wdsimple0036,wdp0048,liquid_surface,a stainless-steel saucepan filled with water,0,0,6,9000
wdsimple0042,wdp0056,liquid_surface,a porcelain soup bowl filled with water,0,0,7,9000
wdsimple0048,wdp0064,liquid_surface,a clear stemmed wine glass filled with water,0,0,8,9000
wdsimple0054,wdp0072,liquid_surface,a wide-mouth mason jar filled with water,0,0,9,9000
wdsimple0060,wdp0080,liquid_surface,a wide porcelain basin filled with water,0,0,10,9000
wdsimple0066,wdp0088,liquid_surface,a shallow white shower tray holding a thin layer of water,0,0,11,9000
wdsimple0072,wdp0096,liquid_surface,an open metal pail filled with water,0,0,12,9000
wdsimple0078,wdp0104,liquid_surface,one compartment of a white ice-cube tray filled with water,0,0,13,9000
wdsimple0084,wdp0112,liquid_surface,a carved granite basin filled with water,0,0,14,9000
wdsimple0090,wdp0120,liquid_surface,a polished brass bowl filled with water,0,0,15,9000
wdsimple0096,wdp0128,liquid_surface,a rectangular glass baking dish filled with water,0,0,16,9000
wdsimple0102,wdp0136,liquid_surface,a shallow laboratory glass tray filled with water,0,0,17,9000
wdsimple0108,wdp0144,liquid_surface,a black stone bowl filled with water,0,0,18,9000
wdsimple0114,wdp0152,liquid_surface,a clean coconut-shell cup filled with water,0,0,19,9000
wdsimple0120,wdp0160,liquid_surface,a natural rock depression holding rainwater,0,0,20,9000
wdsimple0126,wdp0168,liquid_surface,a laboratory petri dish filled with water,0,0,21,9000
wdsimple0132,wdp0176,liquid_surface,a shallow puddle on a microscope glass slide,0,0,22,9000
wdsimple0138,wdp0184,liquid_surface,a rain-filled road pothole,0,0,23,9000
wdsimple0144,wdp0192,liquid_surface,a still indoor decorative pool,0,0,24,9000
wdsimple0150,wdp0200,hard_surface,dark-gray ceramic tile,0,0,25,9000
wdsimple0156,wdp0215,hard_surface,polished dark marble slab,0,0,26,9000
wdsimple0162,wdp0230,hard_surface,granite countertop,0,0,27,9000
wdsimple0168,wdp0245,hard_surface,polished concrete slab,0,0,28,9000
wdsimple0174,wdp0260,hard_surface,porcelain sink ledge,0,0,29,9000
wdsimple0180,wdp0275,hard_surface,brushed aluminum sheet,0,0,30,9000
wdsimple0186,wdp0290,hard_surface,steel workbench top,0,0,31,9000
wdsimple0192,wdp0305,hard_surface,clear glass plate,0,0,32,9000
wdsimple0198,wdp0320,hard_surface,rigid white PVC board,0,0,33,9000
wdsimple0204,wdp0335,hard_surface,lacquered wood panel,0,0,34,9000
wdsimple0210,wdp0350,hard_surface,flat wall mirror,0,0,35,9000
wdsimple0216,wdp0365,hard_surface,polished stone coaster,0,0,36,9000
wdsimple0222,wdp0380,hard_surface,stainless-steel coaster,0,0,37,9000
wdsimple0228,wdp0395,hard_surface,flat section of a painted car hood,0,0,38,9000
wdsimple0234,wdp0410,hard_surface,camera filter glass,0,0,39,9000
wdsimple0240,wdp0425,hard_surface,polished obsidian slab,0,0,40,9000
wdsimple0246,wdp0440,hard_surface,glazed porcelain floor tile,0,0,41,9000
wdsimple0001,wdp0001,liquid_surface,a calm shallow pond,1,1,0,9000
wdsimple0007,wdp0009,liquid_surface,a plain white ceramic cup filled with water,1,1,1,9000
wdsimple0013,wdp0017,liquid_surface,a shallow rain puddle on level pavement,1,1,2,9000
wdsimple0019,wdp0025,liquid_surface,a stainless-steel kitchen sink basin filled with water,1,1,3,9000
wdsimple0025,wdp0033,liquid_surface,a round stone birdbath filled with water,1,1,4,9000
wdsimple0031,wdp0041,liquid_surface,a laboratory beaker filled with clear water,1,1,5,9000
wdsimple0037,wdp0049,liquid_surface,a stainless-steel saucepan filled with water,1,1,6,9000
wdsimple0043,wdp0057,liquid_surface,a porcelain soup bowl filled with water,1,1,7,9000
wdsimple0049,wdp0065,liquid_surface,a clear stemmed wine glass filled with water,1,1,8,9000
wdsimple0055,wdp0073,liquid_surface,a wide-mouth mason jar filled with water,1,1,9,9000
wdsimple0061,wdp0081,liquid_surface,a wide porcelain basin filled with water,1,1,10,9000
wdsimple0067,wdp0089,liquid_surface,a shallow white shower tray holding a thin layer of water,1,1,11,9000
wdsimple0073,wdp0097,liquid_surface,an open metal pail filled with water,1,1,12,9000
wdsimple0079,wdp0105,liquid_surface,one compartment of a white ice-cube tray filled with water,1,1,13,9000
wdsimple0085,wdp0113,liquid_surface,a carved granite basin filled with water,1,1,14,9000
wdsimple0091,wdp0121,liquid_surface,a polished brass bowl filled with water,1,1,15,9000
wdsimple0097,wdp0129,liquid_surface,a rectangular glass baking dish filled with water,1,1,16,9000
wdsimple0103,wdp0137,liquid_surface,a shallow laboratory glass tray filled with water,1,1,17,9000
wdsimple0109,wdp0145,liquid_surface,a black stone bowl filled with water,1,1,18,9000
wdsimple0115,wdp0153,liquid_surface,a clean coconut-shell cup filled with water,1,1,19,9000
wdsimple0121,wdp0161,liquid_surface,a natural rock depression holding rainwater,1,1,20,9000
wdsimple0127,wdp0169,liquid_surface,a laboratory petri dish filled with water,1,1,21,9000
wdsimple0133,wdp0177,liquid_surface,a shallow puddle on a microscope glass slide,1,1,22,9000
wdsimple0139,wdp0185,liquid_surface,a rain-filled road pothole,1,1,23,9000
wdsimple0145,wdp0193,liquid_surface,a still indoor decorative pool,1,1,24,9000
wdsimple0151,wdp0201,hard_surface,dark-gray ceramic tile,1,1,25,9000
wdsimple0157,wdp0216,hard_surface,polished dark marble slab,1,1,26,9000
wdsimple0163,wdp0231,hard_surface,granite countertop,1,1,27,9000
wdsimple0169,wdp0246,hard_surface,polished concrete slab,1,1,28,9000
wdsimple0175,wdp0261,hard_surface,porcelain sink ledge,1,1,29,9000
wdsimple0181,wdp0276,hard_surface,brushed aluminum sheet,1,1,30,9000
wdsimple0187,wdp0291,hard_surface,steel workbench top,1,1,31,9000
wdsimple0193,wdp0306,hard_surface,clear glass plate,1,1,32,9000
wdsimple0199,wdp0321,hard_surface,rigid white PVC board,1,1,33,9000
wdsimple0205,wdp0336,hard_surface,lacquered wood panel,1,1,34,9000
wdsimple0211,wdp0351,hard_surface,flat wall mirror,1,1,35,9000
wdsimple0217,wdp0366,hard_surface,polished stone coaster,1,1,36,9000
wdsimple0223,wdp0381,hard_surface,stainless-steel coaster,1,1,37,9000
wdsimple0229,wdp0396,hard_surface,flat section of a painted car hood,1,1,38,9000
wdsimple0235,wdp0411,hard_surface,camera filter glass,1,1,39,9000
wdsimple0241,wdp0426,hard_surface,polished obsidian slab,1,1,40,9000
wdsimple0247,wdp0441,hard_surface,glazed porcelain floor tile,1,1,41,9000
wdsimple0002,wdp0002,liquid_surface,a calm shallow pond,2,2,0,9000
wdsimple0008,wdp0010,liquid_surface,a plain white ceramic cup filled with water,2,2,1,9000
wdsimple0014,wdp0018,liquid_surface,a shallow rain puddle on level pavement,2,2,2,9000
