scene_id,source_scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,seed_policy,prompt
wdsimple0000,wdp0000,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0001,wdp0001,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0002,wdp0002,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0003,wdp0004,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0004,wdp0005,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0005,wdp0006,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0006,wdp0008,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0007,wdp0009,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0008,wdp0010,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdsimple0009,wdp0012,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
