pair_index,pair_id,source_id,receiver_id,receiver,prompt_variant,seed,video_path,frame_count,fps,mean_adjacent_mae,first_last_mae,max_adjacent_mae,max_to_median_ratio,technical_status,semantic_status,final_status,contact_sheet,notes
0,widyn_train_0000_water_droplet_shallow_pond_direct,water_droplet,shallow_pond,a calm shallow pond,direct,26000,outputs/water_impact_dynamic_v1/train_targets_v1/videos/000_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26000.mp4,49,8,0.3470,1.4751,1.1107,3.5646,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/000_shallow_pond_direct.jpg,
1,widyn_train_0001_water_droplet_shallow_pond_natural,water_droplet,shallow_pond,a calm shallow pond,natural,26001,outputs/water_impact_dynamic_v1/train_targets_v1/videos/001_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26001.mp4,49,8,0.8020,2.6880,1.3676,1.8286,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/001_shallow_pond_natural.jpg,
2,widyn_train_0002_water_droplet_glass_bowl_direct,water_droplet,glass_bowl,a transparent glass mixing bowl filled with water,direct,26002,outputs/water_impact_dynamic_v1/train_targets_v1/videos/002_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26002.mp4,49,8,0.3566,3.6148,1.1287,4.1668,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/002_glass_bowl_direct.jpg,
3,widyn_train_0003_water_droplet_glass_bowl_natural,water_droplet,glass_bowl,a transparent glass mixing bowl filled with water,natural,26003,outputs/water_impact_dynamic_v1/train_targets_v1/videos/003_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26003.mp4,49,8,0.3973,1.6706,0.7284,1.9900,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/003_glass_bowl_natural.jpg,
4,widyn_train_0004_water_droplet_white_basin_direct,water_droplet,white_basin,a wide white ceramic basin filled with water,direct,26004,outputs/water_impact_dynamic_v1/train_targets_v1/videos/004_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26004.mp4,49,8,0.1476,0.6758,0.5969,4.9822,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/004_white_basin_direct.jpg,receiver is not recognizable as a water-filled white basin
5,widyn_train_0005_water_droplet_white_basin_natural,water_droplet,white_basin,a wide white ceramic basin filled with water,natural,26005,outputs/water_impact_dynamic_v1/train_targets_v1/videos/005_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26005.mp4,49,8,0.1459,0.5983,0.4518,3.9804,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/005_white_basin_natural.jpg,
6,widyn_train_0006_water_droplet_glass_tank_direct,water_droplet,glass_tank,a clear rectangular glass tank filled with water,direct,26006,outputs/water_impact_dynamic_v1/train_targets_v1/videos/006_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26006.mp4,49,8,0.2258,1.2143,0.6513,3.2653,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/006_glass_tank_direct.jpg,
7,widyn_train_0007_water_droplet_glass_tank_natural,water_droplet,glass_tank,a clear rectangular glass tank filled with water,natural,26007,outputs/water_impact_dynamic_v1/train_targets_v1/videos/007_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26007.mp4,49,8,0.1755,1.0584,0.5141,3.7174,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/007_glass_tank_natural.jpg,
8,widyn_train_0008_water_droplet_metal_bucket_direct,water_droplet,metal_bucket,a clean metal bucket filled with water,direct,26008,outputs/water_impact_dynamic_v1/train_targets_v1/videos/008_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26008.mp4,49,8,0.7300,3.7861,1.0713,1.4553,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/008_metal_bucket_direct.jpg,
9,widyn_train_0009_water_droplet_metal_bucket_natural,water_droplet,metal_bucket,a clean metal bucket filled with water,natural,26009,outputs/water_impact_dynamic_v1/train_targets_v1/videos/009_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26009.mp4,49,8,0.2480,1.0412,0.6390,2.7237,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/009_metal_bucket_natural.jpg,
10,widyn_train_0010_water_droplet_kitchen_sink_direct,water_droplet,kitchen_sink,a stainless-steel kitchen sink basin filled with water,direct,26010,outputs/water_impact_dynamic_v1/train_targets_v1/videos/010_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26010.mp4,49,8,0.2324,2.5920,0.5403,2.4760,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/010_kitchen_sink_direct.jpg,
