sample_id,pair_id,row_index,chunk_index,chunk_total,frame_start,frame_end,frame_ids,sheet_path,video_path,target_concept,expected_effect,prompt
case_228,v2_fluid_impact_silver_coin_a_small_splash_crown_and_ripple_ring_bright_214,228,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/228_case_228_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_228/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9328.mp4,silver coin,a small splash crown and ripple rings appear,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a shallow fountain basin, with no pre-existing splash or ripple. A clearly visible silver coin enters the frame and remains visible before contact. The silver coin falls into the water only after the visible contact moment, causing a small splash crown and ripple rings appear; the effect begins only after contact and remains visible for several frames."
case_228,v2_fluid_impact_silver_coin_a_small_splash_crown_and_ripple_ring_bright_214,228,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/228_case_228_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_228/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9328.mp4,silver coin,a small splash crown and ripple rings appear,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a shallow fountain basin, with no pre-existing splash or ripple. A clearly visible silver coin enters the frame and remains visible before contact. The silver coin falls into the water only after the visible contact moment, causing a small splash crown and ripple rings appear; the effect begins only after contact and remains visible for several frames."
case_228,v2_fluid_impact_silver_coin_a_small_splash_crown_and_ripple_ring_bright_214,228,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/228_case_228_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_228/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9328.mp4,silver coin,a small splash crown and ripple rings appear,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a shallow fountain basin, with no pre-existing splash or ripple. A clearly visible silver coin enters the frame and remains visible before contact. The silver coin falls into the water only after the visible contact moment, causing a small splash crown and ripple rings appear; the effect begins only after contact and remains visible for several frames."
case_228,v2_fluid_impact_silver_coin_a_small_splash_crown_and_ripple_ring_bright_214,228,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/228_case_228_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_228/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9328.mp4,silver coin,a small splash crown and ripple rings appear,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a shallow fountain basin, with no pre-existing splash or ripple. A clearly visible silver coin enters the frame and remains visible before contact. The silver coin falls into the water only after the visible contact moment, causing a small splash crown and ripple rings appear; the effect begins only after contact and remains visible for several frames."
case_228,v2_fluid_impact_silver_coin_a_small_splash_crown_and_ripple_ring_bright_214,228,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/228_case_228_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_228/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9328.mp4,silver coin,a small splash crown and ripple rings appear,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a shallow fountain basin, with no pre-existing splash or ripple. A clearly visible silver coin enters the frame and remains visible before contact. The silver coin falls into the water only after the visible contact moment, causing a small splash crown and ripple rings appear; the effect begins only after contact and remains visible for several frames."
case_229,v2_fluid_impact_milk_droplet_a_white_swirl_blooms_through_the_cof_plain_215,229,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/229_case_229_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_229/videos/000_a-realistic-fixed-camera-close-up-video-with-a-plain-high-contrast-backg_seed9329.mp4,milk droplet,a white swirl blooms through the coffee,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a cup of black coffee, with no pre-existing white swirl. A clearly visible milk droplet enters the frame and remains visible before contact. The milk droplet falls into the coffee in the middle of the clip, causing a white swirl blooms through the coffee; the effect begins only after contact and remains visible for several frames."
case_229,v2_fluid_impact_milk_droplet_a_white_swirl_blooms_through_the_cof_plain_215,229,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/229_case_229_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_229/videos/000_a-realistic-fixed-camera-close-up-video-with-a-plain-high-contrast-backg_seed9329.mp4,milk droplet,a white swirl blooms through the coffee,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a cup of black coffee, with no pre-existing white swirl. A clearly visible milk droplet enters the frame and remains visible before contact. The milk droplet falls into the coffee in the middle of the clip, causing a white swirl blooms through the coffee; the effect begins only after contact and remains visible for several frames."
case_229,v2_fluid_impact_milk_droplet_a_white_swirl_blooms_through_the_cof_plain_215,229,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/229_case_229_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_229/videos/000_a-realistic-fixed-camera-close-up-video-with-a-plain-high-contrast-backg_seed9329.mp4,milk droplet,a white swirl blooms through the coffee,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a cup of black coffee, with no pre-existing white swirl. A clearly visible milk droplet enters the frame and remains visible before contact. The milk droplet falls into the coffee in the middle of the clip, causing a white swirl blooms through the coffee; the effect begins only after contact and remains visible for several frames."
case_229,v2_fluid_impact_milk_droplet_a_white_swirl_blooms_through_the_cof_plain_215,229,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/229_case_229_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_229/videos/000_a-realistic-fixed-camera-close-up-video-with-a-plain-high-contrast-backg_seed9329.mp4,milk droplet,a white swirl blooms through the coffee,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a cup of black coffee, with no pre-existing white swirl. A clearly visible milk droplet enters the frame and remains visible before contact. The milk droplet falls into the coffee in the middle of the clip, causing a white swirl blooms through the coffee; the effect begins only after contact and remains visible for several frames."
case_229,v2_fluid_impact_milk_droplet_a_white_swirl_blooms_through_the_cof_plain_215,229,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_8shards_20260701_132733/shard_06_start228_limit038/chunk_sheets/229_case_229_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_229/videos/000_a-realistic-fixed-camera-close-up-video-with-a-plain-high-contrast-backg_seed9329.mp4,milk droplet,a white swirl blooms through the coffee,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a cup of black coffee, with no pre-existing white swirl. A clearly visible milk droplet enters the frame and remains visible before contact. The milk droplet falls into the coffee in the middle of the clip, causing a white swirl blooms through the coffee; the effect begins only after contact and remains visible for several frames."
