scene_id,source_scene_id,receiver_id,family,receiver,prompt_variant,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt
wdreplenish000,wdsimple0158,hard_surface_04,hard_surface,plain white ceramic plate,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a plain white ceramic plate. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish001,wdsimple0158,hard_surface_04,hard_surface,plain white ceramic plate,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a plain white ceramic plate. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish002,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white quartz countertop. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish003,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white quartz countertop. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish004,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a porcelain sink ledge. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish005,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a porcelain sink ledge. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish006,wdsimple0176,hard_surface_13,hard_surface,white enamel stove surface,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white enamel stove surface. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish007,wdsimple0176,hard_surface_13,hard_surface,white enamel stove surface,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a white enamel stove surface. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish008,wdsimple0184,hard_surface_17,hard_surface,polished brass plate,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a polished brass plate. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish009,wdsimple0184,hard_surface_17,hard_surface,polished brass plate,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a polished brass plate. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish010,wdsimple0198,hard_surface_24,hard_surface,rigid white PVC board,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a rigid white PVC board. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish011,wdsimple0198,hard_surface_24,hard_surface,rigid white PVC board,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a rigid white PVC board. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish012,wdsimple0202,hard_surface_26,hard_surface,laminated office desk,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a laminated office desk. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
