protocol_version,sample_id,scene_id,training_role,mechanism,split,generalization_group,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,prompt,target_concept,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,reference_start_inclusive,reference_end_exclusive,generated_video,desired_target_video,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video
v1,train_powder_impact_red_apple_flour_explicit_full,train_powder_impact_red_apple_flour_explicit_full,erase,powder_impact,train,,red_apple,one small red apple,yes,flour,a shallow dark tray filled with white flour,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white flour; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. Then one small red apple falls vertically from above and impacts the center of the material. Only after contact, the event produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_108/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_108/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_explicit_full/counterfactual_static.mp4
v1,train_powder_impact_red_apple_flour_concise_full,train_powder_impact_red_apple_flour_concise_full,erase,powder_impact,train,,red_apple,one small red apple,yes,flour,a shallow dark tray filled with white flour,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white flour; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. After the quiet opening, one small red apple falls vertically from above and impacts the center of the material; this produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_109/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_109/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_concise_full/counterfactual_static.mp4
v1,train_powder_impact_red_apple_flour_contact_only,train_powder_impact_red_apple_flour_contact_only,erase,powder_impact,train,,red_apple,one small red apple,yes,flour,a shallow dark tray filled with white flour,yes,contact_only,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white flour; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. After the quiet opening, one small red apple falls vertically from above and impacts the center of the material. The event continues naturally after contact. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_110/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_contact_only/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_110/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_contact_only/counterfactual_static.mp4
v1,train_powder_impact_red_apple_flour_natural_implicit,train_powder_impact_red_apple_flour_natural_implicit,erase,powder_impact,train,,red_apple,one small red apple,yes,flour,a shallow dark tray filled with white flour,yes,natural_implicit,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white flour; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. The continuous shot then shows an ordinary physical event in which one small red apple falls vertically from above and impacts the center of the material. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_111/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_natural_implicit/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_111/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_flour_natural_implicit/counterfactual_static.mp4
v1,train_powder_impact_red_apple_cornstarch_explicit_full,train_powder_impact_red_apple_cornstarch_explicit_full,erase,powder_impact,train,,red_apple,one small red apple,yes,cornstarch,a shallow dark tray filled with white cornstarch,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white cornstarch; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. Then one small red apple falls vertically from above and impacts the center of the material. Only after contact, the event produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_112/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_112/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_explicit_full/counterfactual_static.mp4
v1,train_powder_impact_red_apple_cornstarch_concise_full,train_powder_impact_red_apple_cornstarch_concise_full,erase,powder_impact,train,,red_apple,one small red apple,yes,cornstarch,a shallow dark tray filled with white cornstarch,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white cornstarch; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. After the quiet opening, one small red apple falls vertically from above and impacts the center of the material; this produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_113/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_113/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_concise_full/counterfactual_static.mp4
v1,train_powder_impact_red_apple_cornstarch_contact_only,train_powder_impact_red_apple_cornstarch_contact_only,erase,powder_impact,train,,red_apple,one small red apple,yes,cornstarch,a shallow dark tray filled with white cornstarch,yes,contact_only,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white cornstarch; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. After the quiet opening, one small red apple falls vertically from above and impacts the center of the material. The event continues naturally after contact. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_114/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_contact_only/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_114/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_contact_only/counterfactual_static.mp4
v1,train_powder_impact_red_apple_cornstarch_natural_implicit,train_powder_impact_red_apple_cornstarch_natural_implicit,erase,powder_impact,train,,red_apple,one small red apple,yes,cornstarch,a shallow dark tray filled with white cornstarch,yes,natural_implicit,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with white cornstarch; the powder surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. The continuous shot then shows an ordinary physical event in which one small red apple falls vertically from above and impacts the center of the material. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_115/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_natural_implicit/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_115/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_cornstarch_natural_implicit/counterfactual_static.mp4
v1,train_powder_impact_red_apple_fine_sand_explicit_full,train_powder_impact_red_apple_fine_sand_explicit_full,erase,powder_impact,train,,red_apple,one small red apple,yes,fine_sand,a shallow dark tray filled with fine dry sand,yes,explicit_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with fine dry sand; the granular surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. Then one small red apple falls vertically from above and impacts the center of the material. Only after contact, the event produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_116/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_fine_sand_explicit_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_116/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_fine_sand_explicit_full/counterfactual_static.mp4
v1,train_powder_impact_red_apple_fine_sand_concise_full,train_powder_impact_red_apple_fine_sand_concise_full,erase,powder_impact,train,,red_apple,one small red apple,yes,fine_sand,a shallow dark tray filled with fine dry sand,yes,concise_full,"A simple realistic fixed-camera video in one continuous shot. During the first two seconds, the scene contains a shallow dark tray filled with fine dry sand; the granular surface is flat, smooth, and motionless. The source object is not visible, and nothing changes. After the quiet opening, one small red apple falls vertically from above and impacts the center of the material; this produces a short powder plume and a visible impact crater. The camera, tray, lighting, and background remain fixed throughout.",Powder impact,a short powder plume and a visible impact crater,"the source object is absent and the powder surface remains flat, smooth, and undisturbed",12000,49,8,0,16,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_117/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_fine_sand_concise_full/counterfactual_static.mp4,counterfactual_noise_prediction,yes,outputs/protocol_v1/wan_train_erase/clean_shards/prompt_117/videos/000_a-simple-realistic-fixed-camera-video-in-one-continuous-shot-during-the_seed12000.mp4,outputs/protocol_v1/wan_train_erase_aligned/train_powder_impact_red_apple_fine_sand_concise_full/counterfactual_static.mp4
