review_id,item_index,seed_index,video_path,video_exists,strip_path,strip_exists,target_concept,footprint_definition,source_prompt,target_visible,footprint_visible,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,reviewer_id,notes
c01_005_s04_db826644d5,5,4,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_005_s04_db826644d5.jpg,true,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_002_s00_23555e1a75,2,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s00_23555e1a75.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_004_s04_9a10c9947c,4,4,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s04_9a10c9947c.jpg,true,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_001_s03_7f102291ca,1,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_001_s03_7f102291ca.jpg,true,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_004_s00_9a1f144cdd,4,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_9a1f144cdd.jpg,true,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_002_s03_89eb92c667,2,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s03_89eb92c667.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_004_s04_ffadfcf56c,4,4,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s04_ffadfcf56c.jpg,true,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_005_s03_5cf54f0b45,5,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_005_s03_5cf54f0b45.jpg,true,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_002_s01_6743533c02,2,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s01_6743533c02.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s02_b93283dedb,2,2,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s02_b93283dedb.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_006_s01_d0fdac3f0e,6,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_006_s01_d0fdac3f0e.jpg,true,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_001_s01_c85629e91b,1,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_001_s01_c85629e91b.jpg,true,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_006_s00_ce64eb4b13,6,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_006_s00_ce64eb4b13.jpg,true,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_002_s00_bd058aa895,2,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s00_bd058aa895.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s02_8a06337efa,2,2,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s02_8a06337efa.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_002_s01_e11db31624,2,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s01_e11db31624.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_005_s03_bdc6724ef0,5,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_005_s03_bdc6724ef0.jpg,true,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_007_s02_9049a20a92,7,2,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_007_s02_9049a20a92.jpg,true,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_004_s00_28957017a3,4,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_28957017a3.jpg,true,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_004_s04_84686a31f3,4,4,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s04_84686a31f3.jpg,true,wooden block,a square imprint in the clay,"A realistic fixed-camera close-up video of a wooden block contacting a smooth clay slab, leaving a square imprint in the clay.",,,,,,,,
c01_006_s01_c543f5adce,6,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_006_s01_c543f5adce.jpg,true,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_002_s03_26499182da,2,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_002_s03_26499182da.jpg,true,rubber stamp,a square ink stamp mark on the paper,"A realistic fixed-camera close-up video of a rubber stamp contacting a blank paper sheet, leaving a square ink stamp mark on the paper.",,,,,,,,
c01_007_s03_10b22d5e9e,7,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_007_s03_10b22d5e9e.jpg,true,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_007_s04_b711361fb5,7,4,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_007_s04_b711361fb5.jpg,true,wooden stylus,a thin carved line in the wax,"A realistic fixed-camera close-up video of a wooden stylus contacting a smooth wax tablet, leaving a thin carved line in the wax.",,,,,,,,
c01_005_s01_2fddf68b89,5,1,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_005_s01_2fddf68b89.jpg,true,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_005_s02_7e72fe9db9,5,2,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_005_s02_7e72fe9db9.jpg,true,hiking boot,a single boot print in the wet sand,"A realistic fixed-camera close-up video of a hiking boot contacting a wet sand patch, leaving a single boot print in the wet sand.",,,,,,,,
c01_006_s00_f049e50a53,6,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_006_s00_f049e50a53.jpg,true,paint roller,a blue paint stripe on the paper,"A realistic fixed-camera close-up video of a paint roller contacting a white paper strip, leaving a blue paint stripe on the paper.",,,,,,,,
c01_001_s00_24be4af1bd,1,0,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_001_s00_24be4af1bd.jpg,true,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
c01_001_s03_02a7e3f5c3,1,3,,true,experiments/evaluation/c03_scope_locked_gate_20260704_real_s10_f16_240x432/frame_strips/c01_001_s03_02a7e3f5c3.jpg,true,toy car,two tire tracks in the soft clay,"A realistic fixed-camera close-up video of a toy car contacting a soft clay slab, leaving two tire tracks in the soft clay.",,,,,,,,
