sample_id,seed,part,index,receiver,decision,reference_end_exclusive,notes
wdr000,8400,part_a,0,calm shallow pond,pass,16,"Clean static prefix; visible fall, contact, crown, and ripples."
wdr001,8401,part_a,1,glass bowl filled with water,pass,16,"Clean bowl prefix; visible fall, contact, splash, and ripples."
wdr002,8402,part_a,2,ceramic cup filled with water,fail,,"Receiver and impact become an implausible solid cone and dark blob."
wdr003,8403,part_a,3,metal bucket filled with water,pass,20,"Clean static prefix; visible contact, splash, and ripples."
wdr004,8404,part_a,4,shallow puddle,pass,12,"Clean dark surface; visible fall and expanding ripples."
wdr005,8405,part_a,5,aquarium water surface,pass,16,"Clean static prefix; visible fall, splash, and ripples."
wdr006,8406,part_a,6,dark-gray ceramic tile,pass,20,"Dry clean prefix; visible impact and wet footprint."
wdr007,8407,part_a,7,stainless-steel tray,fail,,"Droplet is already visible in the first frame; no clean prefix under the strict rule."
wdr008,8408,part_a,8,glass tabletop,pass,8,"Short clean prefix; visible impact, splash, and remaining water."
wdr009,8409,part_a,9,dark marble slab,pass,8,"Short clean prefix; visible impact and dark wet footprint."
wdr010,8410,part_a,10,ceramic plate,pass,16,"Clean plate prefix; visible impact and shallow puddle."
wdr011,8411,part_a,11,plastic cutting board,pass,4,"One clearly clean opening segment; visible impact and splash."
wdr012,8412,part_a,12,cotton towel,pass,28,"Long clean prefix; visible fall and expanding dark wet patch."
wdr013,8413,part_a,13,cotton cloth,fail,,"Droplet is visible from the opening; no strict clean prefix."
wdr014,8414,part_a,14,brown cardboard,pass,12,"Clean prefix; visible fall and spreading wet footprint."
wdr015,8415,part_b,0,kitchen sponge,fail,,"The receiver is an abstract flat yellow field rather than a recognizable sponge."
wdr016,8416,part_b,1,unfinished pale wood,pass,16,"Clean wood prefix; visible fall and dark wet footprint."
wdr017,8417,part_b,2,tissue paper,pass,20,"Clean tissue prefix; visible contact and wet footprint."
wdr018,8418,part_b,3,fine dry sand,pass,16,"Clean sand prefix; visible contact, crater, and darkened sand."
wdr019,8419,part_b,4,dry soil,fail,,"A large crater exists before contact, so the claimed causal footprint is not caused by the drop."
wdr020,8420,part_b,5,white flour,pass,8,"Clean flour prefix; visible impact and displaced powder."
wdr021,8421,part_b,6,white salt,fail,,"Water accumulates without the requested indentation or scattered grains."
wdr022,8422,part_b,7,coffee grounds,fail,,"Receiver looks like seeds and the intended depression and damp patch are absent."
wdr023,8423,part_b,8,chalk dust,fail,,"Receiver looks like a plain solid surface and the effect is only a liquid puddle."
wdr024,8424,part_b,9,green leaf,fail,,"Water spreads, but the leaf does not bend or rebound."
wdr025,8425,part_b,10,flower petal,fail,,"Water spreads, but the petal does not bend or vibrate."
wdr026,8426,part_b,11,stretched fabric,fail,,"Receiver is not recognizable as fabric and does not dip or rebound."
wdr027,8427,part_b,12,plastic film,fail,,"The surface does not flex or rebound."
wdr028,8428,part_b,13,grass blade,fail,,"The grass blade is absent at the start and appears during the event."
wdr029,8429,part_b,14,paper strip,fail,,"The strip does not bend or swing; only a liquid ripple appears."
