# Waterdrop prompt bank v2 simple: 250 scenes, one seed per prompt.
# Families: liquid surface and simple hard surface only.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief impact cavity closes and circular ripples cross the surface
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a low radial splash forms and several shallow ripples expand outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief impact cavity closes and circular ripples cross the surface
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a low radial splash forms and several shallow ripples expand outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief impact cavity closes and circular ripples cross the surface
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a low radial splash forms and several shallow ripples expand outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
