scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,seed_policy,prompt
wdp0000,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0001,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0002,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0003,liquid_surface,surface_flow,liquid_surface_00,a calm shallow pond,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a calm shallow pond is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0004,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0005,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0006,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0007,liquid_surface,surface_flow,liquid_surface_01,a transparent glass mixing bowl filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent glass mixing bowl filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0008,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0009,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0010,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0011,liquid_surface,surface_flow,liquid_surface_02,a plain white ceramic cup filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain white ceramic cup filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0012,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0013,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0014,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0015,liquid_surface,surface_flow,liquid_surface_03,a clean metal bucket filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean metal bucket filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0016,liquid_surface,surface_flow,liquid_surface_04,a shallow rain puddle on level pavement,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0017,liquid_surface,surface_flow,liquid_surface_04,a shallow rain puddle on level pavement,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0018,liquid_surface,surface_flow,liquid_surface_04,a shallow rain puddle on level pavement,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0019,liquid_surface,surface_flow,liquid_surface_04,a shallow rain puddle on level pavement,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow rain puddle on level pavement is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0020,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0021,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0022,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
