protocol_version,pair_id,split,generalization_group,mechanism,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,training_prompt,target_generation_prompt,expected_factual_event,expected_counterfactual_state,seed,num_frames,fps,factual_video,desired_target_video
water_impact_dynamic_v1,widyn_train_0000_water_droplet_shallow_pond_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a calm shallow pond. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26000,49,8,,
water_impact_dynamic_v1,widyn_train_0001_water_droplet_shallow_pond_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,shallow_pond,a calm shallow pond,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a calm shallow pond. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a calm shallow pond. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26001,49,8,,
water_impact_dynamic_v1,widyn_train_0002_water_droplet_glass_bowl_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a transparent glass mixing bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a transparent glass mixing bowl filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26002,49,8,,
water_impact_dynamic_v1,widyn_train_0003_water_droplet_glass_bowl_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a transparent glass mixing bowl filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26003,49,8,,
water_impact_dynamic_v1,widyn_train_0004_water_droplet_white_basin_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a wide white ceramic basin filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26004,49,8,,
water_impact_dynamic_v1,widyn_train_0005_water_droplet_white_basin_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,white_basin,a wide white ceramic basin filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a wide white ceramic basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a wide white ceramic basin filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26005,49,8,,
water_impact_dynamic_v1,widyn_train_0006_water_droplet_glass_tank_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clear rectangular glass tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clear rectangular glass tank filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26006,49,8,,
water_impact_dynamic_v1,widyn_train_0007_water_droplet_glass_tank_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clear rectangular glass tank filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26007,49,8,,
water_impact_dynamic_v1,widyn_train_0008_water_droplet_metal_bucket_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,metal_bucket,a clean metal bucket filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clean metal bucket filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clean metal bucket filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26008,49,8,,
water_impact_dynamic_v1,widyn_train_0009_water_droplet_metal_bucket_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,metal_bucket,a clean metal bucket filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clean metal bucket filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clean metal bucket filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26009,49,8,,
