item_index,slice_index,source_index,pair_id,mechanism_type,baseline,baseline_label,video_path,video_exists,strip_path,strip_exists,seed,target_concept,expected_effect,source_prompt,expected_target_visible,expected_footprint_visible,variant_role,target_visible,causal_effect_visible,causeless_effect,video_quality,usable_for_claim,failure_mode,notes
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/000_fluid-impact-pebble-pond-002_original_seed34000.mp4,false,,false,34000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",yes,yes,original,,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/000_fluid-impact-pebble-pond-002_original_seed34000.mp4,false,,false,34000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",yes,yes,original,,,,,,,
1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_original_seed34001.mp4,false,,false,34001,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",yes,yes,original,,,,,,,
1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/001_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_original_seed34001.mp4,false,,false,34001,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",yes,yes,original,,,,,,,
2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/002_elastic-deformation-soccer-net-001_original_seed34002.mp4,false,,false,34002,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward.,yes,yes,original,,,,,,,
2,1,2,elastic_deformation_soccer_net_001,elastic_deformation,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/002_elastic-deformation-soccer-net-001_original_seed34002.mp4,false,,false,34002,soccer ball,net stretches and ripples backward,A realistic close-up video of a still goal net hanging straight. soccer ball causes net stretches and ripples backward.,yes,yes,original,,,,,,,
3,86,258,v2_particle_dispersion_makeup_brush_a_pink_powder_cloud_blooms_upward_bright_244,particle_dispersion,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/003_v2-particle-dispersion-makeup-brush-a-pink-powder-cloud-blooms-upward-br_original_seed34003.mp4,false,,false,34003,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. makeup brush causes a pink powder cloud blooms upward.",yes,yes,original,,,,,,,
3,86,258,v2_particle_dispersion_makeup_brush_a_pink_powder_cloud_blooms_upward_bright_244,particle_dispersion,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/003_v2-particle-dispersion-makeup-brush-a-pink-powder-cloud-blooms-upward-br_original_seed34003.mp4,false,,false,34003,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. makeup brush causes a pink powder cloud blooms upward.",yes,yes,original,,,,,,,
4,47,137,v2_surface_trace_garden_rake_parallel_grooves_remain_in_the_soil_side_123,surface_trace,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/004_v2-surface-trace-garden-rake-parallel-grooves-remain-in-the-soil-side-12_original_seed34004.mp4,false,,false,34004,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. garden rake causes parallel grooves remain in the soil.",yes,yes,original,,,,,,,
4,47,137,v2_surface_trace_garden_rake_parallel_grooves_remain_in_the_soil_side_123,surface_trace,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/004_v2-surface-trace-garden-rake-parallel-grooves-remain-in-the-soil-side-12_original_seed34004.mp4,false,,false,34004,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. garden rake causes parallel grooves remain in the soil.",yes,yes,original,,,,,,,
5,89,274,v2_field_mediated_red_balloon_hair_strands_lift_upward_and_cling_t_plain_260,field_mediated,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/005_v2-field-mediated-red-balloon-hair-strands-lift-upward-and-cling-t-plain_original_seed34005.mp4,false,,false,34005,red balloon,hair strands lift upward and cling toward the balloon,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with loose hair strands on a white table, with no pre-existing lifted hair. red balloon causes hair strands lift upward and cling toward the balloon.",yes,yes,original,,,,,,,
5,89,274,v2_field_mediated_red_balloon_hair_strands_lift_upward_and_cling_t_plain_260,field_mediated,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/005_v2-field-mediated-red-balloon-hair-strands-lift-upward-and-cling-t-plain_original_seed34005.mp4,false,,false,34005,red balloon,hair strands lift upward and cling toward the balloon,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with loose hair strands on a white table, with no pre-existing lifted hair. red balloon causes hair strands lift upward and cling toward the balloon.",yes,yes,original,,,,,,,
6,74,219,v2_fluid_impact_black_pebble_circular_ripples_spread_outward_from_plain_205,fluid_impact,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/006_v2-fluid-impact-black-pebble-circular-ripples-spread-outward-from-plain_original_seed34006.mp4,false,,false,34006,black pebble,circular ripples spread outward from the impact point,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a shallow tray of still blue water, with no pre-existing ripple. black pebble causes circular ripples spread outward from the impact point.",yes,yes,original,,,,,,,
6,74,219,v2_fluid_impact_black_pebble_circular_ripples_spread_outward_from_plain_205,fluid_impact,original,original target plus footprint,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/006_v2-fluid-impact-black-pebble-circular-ripples-spread-outward-from-plain_original_seed34006.mp4,false,,false,34006,black pebble,circular ripples spread outward from the impact point,"A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a shallow tray of still blue water, with no pre-existing ripple. black pebble causes circular ripples spread outward from the impact point.",yes,yes,original,,,,,,,
7,18,42,v2_fracture_damage_ice_cube_branching_white_cracks_spread_throug_side_028,fracture_damage,clean_reference,Clean reference,experiments/method_probe/c0_base_validity_screen_20260703_dryrun/videos/007_v2-fracture-damage-ice-cube-branching-white-cracks-spread-throug-side-02_original_seed34007.mp4,false,,false,34007,ice cube,branching white cracks spread through the ice,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. ice cube causes branching white cracks spread through the ice.",yes,yes,original,,,,,,,
