A wooden dining table set with four plates, folded napkins, glasses, and a vase of flowers. | non-target | preserve original behavior
A person slowly turns the pages of a large photography book on a desk. | non-target | preserve original behavior
A yellow taxi drives along a city avenue as other vehicles travel in adjacent lanes. | non-target | preserve original behavior
A wide view of a quiet public plaza where a few people walk between stone buildings. | non-target | preserve original behavior
A camera observes a ceiling fan rotating steadily in a bright, tidy room. | non-target | preserve original behavior
A person arranges colored pencils by length in a straight line on white paper. | non-target | preserve original behavior
A library cart is pushed slowly down an aisle between tall shelves of books. | non-target | preserve original behavior
A realistic video of a horse walking calmly across a fenced field in afternoon light. | non-target | preserve original behavior
A close shot of a digital clock, a small plant, and framed photograph on a bedside table. | non-target | preserve original behavior
A person hangs three clean jackets on separate hooks beside an apartment door. | non-target | preserve original behavior
A bus arrives at a marked stop and several waiting passengers step toward its doors. | non-target | preserve original behavior
A wide landscape of evergreen trees moving gently in the wind beneath a pale sky. | non-target | preserve original behavior
A person places sealed food containers one by one inside an open refrigerator. | non-target | preserve original behavior
A camera looks across a workshop bench with neatly organized tools and wooden boards. | non-target | preserve original behavior
A child rolls a toy car slowly along an empty painted track without hitting any obstacle. | non-target | preserve original behavior
A person carries a stack of folded towels across a hotel hallway and enters an open room. | non-target | preserve original behavior
