sample_id,pair_id,row_index,chunk_index,chunk_total,frame_start,frame_end,frame_ids,sheet_path,video_path,target_concept,expected_effect,prompt
case_102,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_side_088,102,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/102_case_102_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_102/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9202.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_102,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_side_088,102,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/102_case_102_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_102/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9202.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_102,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_side_088,102,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/102_case_102_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_102/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9202.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_102,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_side_088,102,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/102_case_102_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_102/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9202.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_102,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_side_088,102,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/102_case_102_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_102/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9202.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_103,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_bright_089,103,0,5,0,7,f000;f001;f002;f003;f004;f005;f006;f007,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/103_case_103_chunk00_f000_f007.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_103/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9203.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_103,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_bright_089,103,1,5,4,11,f004;f005;f006;f007;f008;f009;f010;f011,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/103_case_103_chunk01_f004_f011.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_103/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9203.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_103,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_bright_089,103,2,5,8,15,f008;f009;f010;f011;f012;f013;f014;f015,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/103_case_103_chunk02_f008_f015.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_103/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9203.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_103,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_bright_089,103,3,5,12,19,f012;f013;f014;f015;f016;f017;f018;f019,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/103_case_103_chunk03_f012_f019.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_103/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9203.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
case_103,v2_surface_trace_rubber_stamp_a_square_ink_stamp_mark_remains_on_t_bright_089,103,4,5,16,23,f016;f017;f018;f019;f020;f021;f022;f023,experiments/evaluation/zeroscope_v2_clean_gate_gpt54_6shards_retry_20260701_133602/shard_02_start102_limit051/chunk_sheets/103_case_103_chunk04_f016_f023.jpg,/home/deepseek_VG/JUNCHI/Video-causal/outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_103/videos/000_a-realistic-fixed-camera-close-up-video-under-bright-studio-lighting-the_seed9203.mp4,rubber stamp,a square ink stamp mark remains on the paper,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames."
