expansion_id,source_scene_id,family,mechanism,receiver_id,receiver,footprint_family,fixed_seed,prompt,target_concept,expected_effect
wdgen000,wdp0044,liquid_surface,surface_flow,liquid_surface_11,a transparent measuring jug filled with water,a small crown splash rises and concentric ripples spread outward,9800,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent measuring jug filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a small crown splash rises and concentric ripples spread outward
wdgen001,wdp0048,liquid_surface,surface_flow,liquid_surface_12,a stainless-steel saucepan filled with water,a small crown splash rises and concentric ripples spread outward,9801,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel saucepan filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a small crown splash rises and concentric ripples spread outward
wdgen002,wdp0092,liquid_surface,surface_flow,liquid_surface_23,an open rain barrel filled with water,a small crown splash rises and concentric ripples spread outward,9802,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, an open rain barrel filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a small crown splash rises and concentric ripples spread outward
wdgen003,wdp0032,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,a small crown splash rises and concentric ripples spread outward,9803,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a small crown splash rises and concentric ripples spread outward
wdgen004,wdp0240,hard_surface,surface_residue,hard_surface_08,dark slate tile,a brief radial splash appears and several clear water beads remain,9804,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dark slate tile is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a brief radial splash appears and several clear water beads remain
wdgen005,wdp0325,hard_surface,surface_residue,hard_surface_25,sealed hardwood tabletop,a brief radial splash appears and several clear water beads remain,9805,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, sealed hardwood tabletop is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a brief radial splash appears and several clear water beads remain
wdgen006,wdp0310,hard_surface,surface_residue,hard_surface_22,clear acrylic sheet,a brief radial splash appears and several clear water beads remain,9806,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, clear acrylic sheet is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a brief radial splash appears and several clear water beads remain
wdgen007,wdp0295,hard_surface,surface_residue,hard_surface_19,flat cast-iron griddle,a brief radial splash appears and several clear water beads remain,9807,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, flat cast-iron griddle is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,a brief radial splash appears and several clear water beads remain
wdgen008,wdp0450,absorbent_surface,absorption,absorbent_surface_00,white paper towel,the water is absorbed and a small dark wet patch gradually expands,9808,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, white paper towel is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,the water is absorbed and a small dark wet patch gradually expands
wdgen009,wdp0458,absorbent_surface,absorption,absorbent_surface_02,unfinished pine board,the water is absorbed and a small dark wet patch gradually expands,9809,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, unfinished pine board is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged.",single falling water droplet,the water is absorbed and a small dark wet patch gradually expands
