review_id,item_index,seed_index,video_path,video_exists,strip_path,strip_exists,target_concept,footprint_definition,source_prompt,target_visible,footprint_visible,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,reviewer_id,notes
c01_008_s00_7739a67d58,8,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s00_7739a67d58.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s02_63c0a16d5f,3,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s02_63c0a16d5f.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s02_2510db398c,8,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s02_2510db398c.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s00_5aa7479c19,10,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s00_5aa7479c19.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s01_90370b18f4,3,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s01_90370b18f4.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s01_69bf386730,8,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s01_69bf386730.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s01_534b907cd3,10,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s01_534b907cd3.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s02_b091e9a862,10,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s02_b091e9a862.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s01_0785ca9ce3,10,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s01_0785ca9ce3.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s01_3a65c25887,3,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s01_3a65c25887.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
